source_paper,star_name,normalized_name,age_gyr,age_err_lo_gyr,age_err_hi_gyr,prot_days,query_name,simbad_found,simbad_main_id,simbad_ra_deg,simbad_dec_deg,simbad_ids,simbad_status,gaia_dr3_source_id_from_simbad,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,ebpminrp_gspphot,g_rp,bp_rp_0,ruwe_flag
Engle_2023,GJ 821,GJ 821,9.5,1.5,1.5,86.2,GJ 821,True,Wolf  918,317.32261313117283,-13.3025036466225,TIC 214576902|StKM 2-1498|GJ 821|Gaia DR3 6885776098199761024|PLX 5084|CNS5 5223|CSI-13-21065|Ci 20 1261|GEN# +6.10140918|GSC 05783-00134|HIC 104432|HIP 104432|JP11  5194|LFT 1607|LHS    65|LPM 767|LTT  8393|NLTT 50633|PM 21065-1329|TYC 5783-1513-1|VVO 372|Wolf  918|[RHG95]  3307|2MASS J21091740-1318080|PLX 5084.00|UCAC2  27211430|WISEA J210917.93-131830.3|GCRV 26191|UCAC4 384-153409|PM J21092-1318|Gaia DR2 6885776098199761024,ok,6.885776098199761e+18,6.885776098199761e+18,317.32587881622555,-13.31137231459359,84.44018320948496,0.025683865,715.0641543639571,-1995.4456205314848,10.027026,11.107968,8.992317,2.1156511,1.0270468,0.0004,1.034709,2.115251,False
Engle_2023,LP 552-48,LP 552-48,9.88,2.06,1.78,83.2,LP 552-48,True,LP  552-48,170.87432474921,7.02491892975,"TIC 291065627|StKM 2-729|GJ 9358|HIP 55605|Gaia DR3 3817534337625985280|ASCC 1041795|2MASS J11232981+0701302|AC +07    85-45|CSI+07-11210|GCRV 62403|GSC 00270-00121|HIC  55605|LP  552-48|MCC 130|NLTT 27230|TYC  270-121-1|LSPM J1123+0701W|USNO-B1.0 0970-00236845|WDS J11235+0701Aa,Ab|** LDS 4091A|UCAC4 486-053511|EPIC 201885585|WEB  9996|Gaia DR2 3817534337625985280|WDS J11235+0701A",ok,3.817534337625985e+18,3.817534337625985e+18,170.87509547259216,7.024697236311857,27.02506049844168,0.46924323,172.10563522175994,-49.87962122637029,9.833677,10.587264,8.950231,1.6370335,27.549984,,0.8834467,,True
Engle_2023,LHS 343,LHS 343,11.5,1.5,1.0,89.2,LHS 343,True,G  61-21,194.0989163662075,15.695720388789995,TIC 88119458|Gaia DR3 3931313793733241088|2MASS J12562380+1541471|LSPM J1256+1541|UCAC2  37368517|USNO-B1.0 1056-00221499|CSI+16-12540|G  61-21|G 149-21|GEN# +9.80061021|L 1264-57|LFT  956|LHS   343|LP  436-64|LTT 13721|NLTT 32357|PM 12539+1559|UBV M  42598|USNO  43|PLX 2969.02|Gaia DR2 3931313793733241088|WISEA J125623.38+154130.4,ok,3.931313793733241e+18,3.931313793733241e+18,194.0967075237245,15.68989248656627,17.38785833074205,0.015066933,-478.4577927373973,-1311.280499852875,13.252852,14.039905,12.386014,1.6538906,1.1211435,0.0004,0.86683846,1.6534907,False
Engle_2023,LHS 173,LHS 173,11.5,1.5,1.0,85.3,LHS 173,True,Ross   34,52.22142148268209,37.38244685860472,TIC 194856365|AP J03285302+3722579|HIP 16209|Gaia DR3 222749343414443648|PM J03288+3722|PLX  721|LSPM J0328+3722|ASCC  467326|UCAC2  44788677|USNO-B1.0 1273-00070217|2MASS J03285302+3722579|CSI+37-03255|Ci 20  235|G  78-38|G  95-39|G  38-1|GCRV  1904|GEN# +9.80038001|HIC  16209|LFT  283|LHS   173|LTT 11144|NLTT 10995|PM 03256+3714|Ross   34|UBV    3319|UBV M  42462|uvby98 980038001 V|GSC 02354-02151|TYC 2354-2151-1|PLX  721.00|WISEA J032854.11+372245.5|Gaia DR1 234758961030907008|WEB  3088|Gaia DR2 234758965325900416,ok,2.2274934341444365e+17,2.2274934341444365e+17,52.227698158214295,37.37771073269072,36.90719800007177,0.0226272,1122.1763715002862,-1065.6656513527057,10.503306,11.299964,9.631461,1.6685028,1.2250491,,0.87184525,,True
Engle_2023,LHS 174,LHS 174,11.5,1.5,1.0,90.4,LHS 174,True,Ross  585,52.68674600386084,34.018664165719166,TIC 90569855|Gaia DR3 220989197096055040|PM J03307+3401|PLX  729|LSPM J0330+3401|UCAC2  43743990|2MASS J03304474+3401100|USNO-B1.0 1240-00050346|CSI+33-03276|Ci 20  239|G  37-40|G  38-2|G  95-41|LFT  288|LHS   174|LTT 11151|NLTT 11082|PM 03276+3352|Ross  585|PLX  729.00|WISEA J033045.23+340051.6|UCAC4 621-011332|Gaia DR2 220989197095750528,ok,2.2098919709605504e+17,2.2098919709605504e+17,52.68941572208075,34.01200058890383,36.65443101768253,0.033869635,497.8823177377405,-1499.3112796933915,12.035498,12.980215,11.070039,1.9101763,1.2666509,,0.96545887,,True
Engle_2023,NSV 11919,NSV 11919,1.97,0.35,0.98,21.07,NSV 11919,True,L  923-22,290.1394114439,-7.662153470970002,TIC 3567372|GJ 754.1 B|Gaia DR3 4201781696994082944|CSI-07-19179  2|CNS5 4798|IDS 19152-0751 B|L  923-22|LP  692-15|LTT  7659|NLTT 47691|NSV 11919|UBV   16350|USNO  68|VVO 419|Zkh 292|[RHG95]  3044|uvby98 600107659|2MASS J19203346-0739435|WDS J19206-0740B|** LDS  678B|WISEP J192033.38-073945.4|StKM 2-1405|UCAC2  29177674|UCAC3 165-258096|UCAC4 412-113452|PM J19205-0739|Gaia DR2 4201781696994082944,ok,4.201781696994083e+18,4.201781696994083e+18,290.13909487970443,-7.662944466801488,95.1783951524141,0.031006021,-70.59099363530763,-177.97403713224622,10.972157,12.369064,9.807171,2.5618935,1.1695817,,1.1649857,,False
Engle_2023,Gaia DR3 75525a,Gaia DR3 75525a,1.98,0.39,1.01,20.6,Gaia DR3 75525a,False,EGGR 185,176.48612658074168,31.825192463823058,TIC 82311843|GALEX J114556.7+314929|Gaia DR3 4021565827014024576|ASCC  586522|UCAC2  42929906|2MASS J11455668+3149312|LSPM J1145+3149E|CBS  48|CSI+32-11433  2|EGGR 185|EGGR  83|G 148-7|GEN# +9.80148007|NLTT 28470|PG 1143+321|UBV M  53812|UBV   10601|US 2910|USNO 234|WD 1143+32|WD 1143+321|uvby98 980148007|BPS BS 16077-0049|WDS J11460+3149A|** GIC  102A|GCRV 21674|WD 1135+321|Gaia DR2 4021565827014024576|SDSS J114556.62+314929.6|SDSS J114556.61+314929.6,ok,4.0215658270140247e+18,4.0215658270140247e+18,176.48532004722605,31.824025919704592,31.91490983810673,0.0293080136179924,-154.188317838324,-262.4732515214976,13.706892013549805,13.662728309631348,13.830787658691406,-0.1680593490600586,1.156918168067932,,-0.1238956451416015,,False
Engle_2023,G148-6,G148-6,2.2,0.57,1.35,22.7,G148-6,True,G 148-6,176.4832183944054,31.82525805859361,TIC 82311842|Gaia DR3 4021566209266336640|USNO-B1.0 1218-00213721|CSI+32-11433  1|G 148-6|GEN# +9.80148006|GSC 02524-01475|NLTT 28469|UBV   10598|UBV M  53811|USNO 235|2MASS J11455599+3149316|LSPM J1145+3149W|WDS J11460+3149B|** GIC  102B|WISEA J114555.83+314928.2|UCAC4 610-048197|PM J11459+3149W|Gaia DR2 4021566209266336640,ok,4.021566209266337e+18,4.021566209266337e+18,176.4823529618982,31.82410244585442,31.63887765400161,0.3642143,-165.4478216855959,-260.0135252445386,12.808223,14.304039,11.611558,2.692481,18.951975,,1.1966648,,True
Engle_2023,LP 783-2,LP 783-2,3.12,0.56,1.73,25.45,LP 783-2,True,LP  783-2,115.0807159367321,-17.41275359598222,TIC 289113766|GJ 283 B|Gaia DR3 5717278911884264576|2MASS J07401922-1724449|CNS5 1900|CCDM J07402-1725B|CSI-17-07380|IDS 07357-1710 B|L  745-46 B|LFT  544|LHS   234|LP  783-2|LTT  2916|NLTT 18270|Zkh 110|[RHG95]  1215|WDS J07402-1724C|** LUY 5693B|UCAC3 146-71176|UCAC4 363-032819|DENIS J074019.2-172445|Gaia DR2 5717278911884264576|WISEA J074020.22-172451.5|Karmn J07403-174,ok,5.717278911884264e+18,5.717278911884264e+18,115.0860829678518,-17.415137719851018,109.25448246098924,0.03917484,1152.243039954044,-536.4117210908856,13.95689,16.885386,12.506049,4.3793364,1.0867008,,1.450841,,False
Engle_2023,G130-6,G130-6,3.6,1.73,1.84,49.5,G130-6,True,G 130-6,355.9712848,32.594097500000004,"TIC 288144878|StKM 2-1765|GJ 905.2 A|GJ 9838 A|Gaia DR3 2871730758921709952|LSPM J2343+3235|ASCC  646137|UCAC2  43379028|USNO-B1.0 1225-00698915|CCDM J23438+3233B|CSI+32-23414  1|G 130-6|GEN# +9.80130006|GSC 02771-00662|IDS 23389+3159 B|L 1512-35|LP  347-5|LTT 16990|NLTT 57801|UBV   20405|UBV M  42782|USNO 276|[RHG95]  3749|2MASS J23435310+3235388|WDS J23439+3232A|** LDS 1070A|UCAC4 613-136873|PM J23438+3235|** JOD   26|WDS J23439+3232Aa,Ab|Gaia DR2 2871730758921709952",ok,2.87173075892171e+18,2.87173075892171e+18,355.9701730825664,32.593828350519495,,,,,10.610644,11.941395,9.431913,2.5094814,,,1.178731,,
