source_paper,star_name,normalized_name,age_gyr,age_err_lo_gyr,age_err_hi_gyr,prot_days,age_method
Engle_2024,HAT 222-10112,HAT 222-10112,0.1790605854035294,0.015755390614096,0.0172754422800752,4.77,gyro_e23
Engle_2024,2MASS J04160235+3325301,2MASS J04160235+3325301,0.1790605854035294,0.015755390614096,0.0172754422800752,4.77,gyro_e23
Engle_2024,BD-17 6768,BD-17 6768,0.1803017740859569,0.0158646017644637,0.0173951899252291,4.83,gyro_e23
Engle_2024,au Mic (GJ 803),au Mic,0.1807174126010927,0.0159011734485418,0.0174352899794171,4.85,gyro_e23
Engle_2024,EPIC 202059229,EPIC 202059229,0.1849268618978078,0.0162715593589337,0.0178414100543204,5.01,gyro_e23
Engle_2024,GSC 02083-01558,GSC 02083-01558,0.1940885877592778,0.0170776919275357,0.0187253168389933,5.34,gyro_e23
Engle_2024,1RXS J175750.3+471634,1RXS J175750.3+471634,0.1972422736114853,0.0173551820986065,0.0190295787612166,5.45,gyro_e23
Engle_2024,LP 149-56,LP 149-56,0.2182729911843001,0.019663499448563,0.0216103007176489,6.17,gyro_e23
Engle_2024,TYC 3059-299-1,TYC 3059-299-1,0.227509743077207,0.0204956081981028,0.0225247930924361,6.46,gyro_e23
Engle_2024,CD-72 1700A (GJ 1264),CD-72 1700A,0.2349632820848307,0.0211670731346075,0.0232627369786289,6.67,gyro_e23
Engle_2024,UCAC4 678-130516,UCAC4 678-130516,0.2409905428686594,0.0222143804737042,0.0244700133288945,6.85,gyro_e23
Engle_2024,TYC 2703-706-1,TYC 2703-706-1,0.2760577856220345,0.0265983129277391,0.0294343256995167,7.8,gyro_e23
Engle_2024,UCAC4 666-047939,UCAC4 666-047939,0.2779713267759288,0.0262036340000433,0.0289308720631868,7.85,gyro_e23
Engle_2024,EPIC 202059204,EPIC 202059204,0.2792543841237337,0.0263245844791193,0.0290644109012016,7.89,gyro_e23
Engle_2024,1RXS J051125.0+265849,1RXS J051125.0+265849,0.2877398414735669,0.0271244864736773,0.02994756559141,8.09,gyro_e23
Engle_2024,UCAC4 729-006249,UCAC4 729-006249,0.2985382618917959,0.0281424254809116,0.0310714502856617,8.35,gyro_e23
Engle_2024,TYC 3425-1133-1,TYC 3425-1133-1,0.2985382618917959,0.0281424254809116,0.0310714502856617,8.35,gyro_e23
Engle_2024,2MASS J21154192+1746242,2MASS J21154192+1746242,0.328095293113119,0.0316121541606848,0.0349827616569823,9.02,gyro_e23
Engle_2024,UCAC4 643-115616,UCAC4 643-115616,0.3597493351557423,0.035409717806393,0.0392755672063997,9.65,gyro_e23
