source_id,A_V,A_V_err,A_Ks,A_Ks_err,dustmap_used
22338644598132096,0.0,0.0,0.0,0.0,none
5177677603263978880,0.0,0.0,0.0,0.0,none
4727935836644070656,0.0,0.0,0.0,0.0,none
5050649616159457280,0.0,0.0,0.0,0.0,none
5172820918669419520,0.016952416035331788,9.229885013151076e-06,0.0013222884507558795,6.78134857653625e-05,Edenhofer
4947259307983420928,0.0,0.0,0.0,0.0,none
4696042268497964032,0.0,0.0,0.0,0.0,none
5050451154310013056,0.0,0.0,0.0,0.0,none
5156815675796804224,0.01169113986901742,3.728703424962118e-05,0.0009119089097833588,4.6854911670551635e-05,Edenhofer
4727920241619206912,0.0,0.0,0.0,0.0,none
2497858563088120448,0.0,0.0,0.0,0.0,none
4721078629298085760,0.0,0.0,0.0,0.0,none
4721962812741729792,0.01384622832726332,1.8627962269217392e-06,0.0010800058095265389,5.538510389798746e-05,Edenhofer
5073000900844651776,0.0,0.0,0.0,0.0,none
4734936122236789120,0.0,0.0,0.0,0.0,none
111731654357442816,0.0,0.0,0.0,0.0,none
5044769256174659456,0.0,0.0,0.0,0.0,none
5046815924054174848,0.0,0.0,0.0,0.0,none
4750820491845428480,0.0,0.0,0.0,0.0,none
4737112944804903040,0.0,0.0,0.0,0.0,none
4723899224517492992,0.019673390625457227,3.6786393676330195e-06,0.0015345244687856637,7.869408561178784e-05,Edenhofer
4853494193317166848,0.0,0.0,0.0,0.0,none
3248236559980000512,0.0,0.0,0.0,0.0,none
4859766769714787072,0.0,0.0,0.0,0.0,none
4848412525451859328,0.0,0.0,0.0,0.0,none
4736393250021662976,0.020298195007296245,1.2785282656072922e-06,0.0015832592105691071,8.119284127300924e-05,Edenhofer
5084713036143375744,0.0,0.0,0.0,0.0,none
4730672387943135616,0.0,0.0,0.0,0.0,none
244734765608363136,0.0,0.0,0.0,0.0,none
4731400745677079808,0.0,0.0,0.0,0.0,none
4628964641797092352,0.0,0.0,0.0,0.0,none
4829047067669501056,0.0,0.0,0.0,0.0,none
4843589861294177536,0.0,0.0,0.0,0.0,none
4888246251178417024,0.0,0.0,0.0,0.0,none
5109911781067864064,0.0,0.0,0.0,0.0,none
4843959091042621312,0.0,0.0,0.0,0.0,none
4668269708587377664,0.0,0.0,0.0,0.0,none
4653866999617253376,0.0,0.0,0.0,0.0,none
4625883599760005760,0.0,0.0,0.0,0.0,none
4843859619599388928,0.014648674015787825,1.2784817092295736e-06,0.0011425965732314502,5.859478092053305e-05,Edenhofer
4838601651916263040,0.0,0.0,0.0,0.0,none
163184366130809472,0.08228907918459734,0.0031746928684356275,0.006418548176398592,0.00041190112695415915,Edenhofer
169728143945164288,0.03134467006791595,0.00018954876889093751,0.002444884265297444,0.00012624739163720854,Edenhofer
164698634160139264,0.05739233527927439,0.0013751734084823497,0.004476602151783402,0.0002533920803048221,Edenhofer
164705368668853120,0.101840340561622,0.004794027780842756,0.007943546563806516,0.0005529647734085785,Edenhofer
164504467278644096,0.07850700736560981,0.0019357413690588316,0.006123546574517565,0.0003484407081926559,Edenhofer
164445437248152832,0.07061568767271895,0.0014937533606703757,0.005508023638472078,0.00030554938924427793,Edenhofer
4653517316264299904,0.0,0.0,0.0,0.0,none
149623711269425408,0.1089081821984975,0.0032166775047589745,0.008494838211482805,0.0005027197117723561,Edenhofer
4778915109878774912,0.015625521057079927,3.2244555669504063e-06,0.0012187906424522344,6.250259025771446e-05,Edenhofer
152226491513195648,0.09014680188874201,0.0019700317641185507,0.007031450547321877,0.0003919633800176278,Edenhofer
4865484642495988224,0.0,0.0,0.0,0.0,none
151374202498079872,0.1224149522483948,0.004285553766713478,0.009548366275374795,0.0005928788212099685,Edenhofer
151793082068521856,0.0635365857746368,0.0020850727195604445,0.004955853690421671,0.0003017295569846405,Edenhofer
