object,source_survey_name,source_survey_id,ref,Prot,e_Prot,ageMyr,e_ageMyr,TIC_ID,GaiaDR2_ID,GaiaDR3_ID,bp_rp,ebpminrp_gspphot,ruwe,parallax,bprp0
2MASS J01380311-5904042,2MASS,01380311-5904042,Mamonova2025,1.8,,45.0,,230981685.0,4.717131661728535e+18,4717131661728534272,2.806882,0.0002,1.4206015,23.33299277941035,2.8066819
2MASS J01484087-4830519,2MASS,01484087-4830519,Mamonova2025,4.5,,149.0,,229147927.0,4.941706636824503e+18,4941706632527781504,2.1898718,0.0108,1.145983,25.61879187581069,2.179072
2MASS J01504543-5716488,2MASS,01504543-5716488,Mamonova2025,0.706,,45.0,,231020924.0,4.718894488105809e+18,4718894488105809024,3.7705688,,1.0932988,22.404311990238057,
2MASS J01505688-5844032,2MASS,01505688-5844032,Mamonova2025,1.635,,45.0,,231020638.0,4.717948633228036e+18,4717948633228035968,2.641471,0.0022,1.3889185,22.098246475368303,2.639271
2MASS J01511997+1324525,2MASS,01511997+1324525,Mamonova2025,3.06,,24.0,,404629742.0,2.575842627879031e+18,2575842627879030656,2.2439327,0.0038,1.4083922,26.37904682775203,2.2401328
2MASS J01521830-5950168,2MASS,01521830-5950168,Mamonova2025,6.5,,45.0,,231022874.0,4.717559779772987e+18,4717559779772987520,2.3131056,,1.189867,25.256342113595544,
2MASS J01532494-6833226,2MASS,01532494-6833226,Mamonova2025,0.6,,45.0,,232073492.0,4.694395410533462e+18,4694395410533461760,3.286024,0.0013,1.1067554,22.588225500930427,3.284724
2MASS J01564714-0021127,2MASS,01564714-0021127,Mamonova2025,0.543,,24.0,,423389014.0,2.507484130258715e+18,2507484130258715136,1.7341137,0.0462,1.22388,14.320881398640012,1.6879137
2MASS J02000918-8025009,2MASS,02000918-8025009,Mamonova2025,7.5,,45.0,,273789976.0,4.63203787987491e+18,4632037879874910080,1.3101645,0.0374,3.2312658,13.235763730748628,1.2727644
2MASS J02001277-0840516,2MASS,02001277-0840516,Mamonova2025,2.28,,45.0,,25001358.0,2.4632117147464243e+18,2463211714746424576,2.3968143,,2.0248907,27.18383102258466,
2MASS J02001992-6614017,2MASS,02001992-6614017,Mamonova2025,0.63,,45.0,,232083054.0,4.698166391819383e+18,4698166391819382272,3.0619583,,1.2940397,21.91219095760981,
2MASS J02045317-5346162,2MASS,02045317-5346162,Mamonova2025,0.7,,45.0,,219993473.0,4.743833232890124e+18,4743833232890124160,3.1021776,,1.5249168,22.08535920441569,
2MASS J02070176-4406380,2MASS,02070176-4406380,Mamonova2025,7.0,,45.0,,165941376.0,4.944355154177077e+18,4944355154177076864,2.6206818,,1.5832671,23.54674380847708,
2MASS J02105538-4603588,2MASS,02105538-4603588,Mamonova2025,1.11,,45.0,,7242537.0,4.943150845347892e+18,4943150845347891840,1.3369226,,4.4482846,12.342791650387584,
2MASS J02125819-5851182,2MASS,02125819-5851182,Mamonova2025,1.601,,45.0,,201753428.0,4.714952567121408e+18,4714952567121408256,2.344861,0.003,1.2785739,20.874164709823027,2.341861
2MASS J02130073+1803460,2MASS,02130073+1803460,Mamonova2025,0.997,,24.0,,306485634.0,8.082438249894374e+16,80824382498943744,3.0260868,,1.3519851,36.77961709039075,
2MASS J02133021-4654505,2MASS,02133021-4654505,Mamonova2025,0.43,,24.0,,300998506.0,4.942856382388078e+18,4942856382389905408,2.828968,,,,
2MASS J02153328-5627175,2MASS,02153328-5627175,Mamonova2025,0.16,,45.0,,201789285.0,4.742436853122727e+18,4742436853122727040,3.8254662,,1.1921947,21.98467393401815,
2MASS J02155892-0929121,2MASS,02155892-0929121,Mamonova2025,1.437,,45.0,,1031299.0,5.176144780975494e+18,5176144780975494144,2.4746017,,13.577773,24.009336435960208,
2MASS J02165488-2322133,2MASS,02165488-2322133,Mamonova2025,1.555,,24.0,,268862481.0,5.12306609766343e+18,5123066097663430016,2.7192898,,3.0080898,13.880830913316355,
2MASS J02175601+1225266,2MASS,02175601+1225266,Mamonova2025,2.16,,24.0,,408589330.0,7.303499115555546e+16,73034991155555456,2.6418438,,1.619817,15.903087695502707,
2MASS J02180960-6657524,2MASS,02180960-6657524,Mamonova2025,0.33,,45.0,,234305804.0,4.696427857777405e+18,4696427857777749248,3.3370419,,,,
2MASS J02205139-5823411,2MASS,02205139-5823411,Mamonova2025,1.281,,45.0,,201795667.0,4.738200056863234e+18,4738200056863233536,2.7247953,0.0174,1.3629507,22.859967435394605,2.7073953
2MASS J02224418-6022476,2MASS,02224418-6022476,Mamonova2025,1.154,,45.0,,382552502.0,4.713771622913507e+18,4713771622913507328,2.830285,0.0,1.3344165,35.51934607607408,2.830285
2MASS J02242453-7033211,2MASS,02242453-7033211,Mamonova2025,0.515,,45.0,,234333175.0,4.645306786198366e+18,4645306786198365696,3.0582228,,1.2870612,22.70018961892043,
2MASS J02294569-5541496,2MASS,02294569-5541496,Mamonova2025,0.49,,45.0,,201857950.0,4.739713087942439e+18,4739713087942439168,3.434617,,,,
2MASS J02303239-4342232,2MASS,02303239-4342232,Mamonova2025,8.8,,45.0,,142178693.0,4.94663385766619e+18,4946633857666189952,1.505641,,19.74067,18.533714101187137,
