name,source_id,role,binary_type,mass_msun,prot_days,parallax,bp_rp,ebpminrp_gspphot,ruwe,flag_high_ruwe,bprp0,age_gyr_cf,age_gyr_upper,age_gyr_lower
G 271-110,2478001486169801216,primary,FGKM,0.31,1.06,41.69892726044635,2.8796167373657227,,1.708186149597168,True,2.8796167373657227,0.2707775239351335,0.1875791967498066,0.1279029478106313
HD 10008,2477815222028038272,companion,FGKM,,7.1,41.56362142958949,0.9709339141845704,0.0,0.9679045081138612,False,0.9709339141845704,0.2707775239351335,0.1875791967498066,0.1279029478106313
LP 99-392,1603272950424941440,primary,FGKM,0.31,1.196,51.346175446970754,2.7766218185424805,0.0,1.356397271156311,True,2.7766218185424805,0.321519418120576,0.0639109643297692,0.0608824373935291
HD 139477,1603267143629157120,companion,FGKM,,11.2,51.222192287747625,1.2921876907348633,0.0,0.968590259552002,False,1.2921876907348633,0.321519418120576,0.0639109643297692,0.0608824373935291
LP 128-32,837177915851182080,primary,FGKM,0.32,6.5,37.888515571378335,2.7945518493652344,0.0,1.4145148992538452,True,2.7945518493652344,0.2258779688883771,0.0836006361532243,0.0701910039704089
HD 93811,837178843564106112,companion,FGKM,,8.5,,1.110750675201416,,,False,1.110750675201416,0.2258779688883771,0.0836006361532243,0.0701910039704089
LP 876-10,6623351805412369024,primary,FGKM,0.2,0.318,130.27065669284806,3.01472282409668,,1.2056622505187988,True,3.01472282409668,0.2195034959310978,0.04615537609692,0.0346418366547723
HD 216803,6604147121141267712,companion,FGKM,,10.1,131.55250924995755,1.3403124809265137,0.0,0.9246975183486938,False,1.3403124809265137,0.2195034959310978,0.04615537609692,0.0346418366547723
LSPM J0849+0329W,581103581886377728,primary,FGKM,0.23,4.4,32.95005143827675,2.915384292602539,,1.083454728126526,False,2.915384292602539,4.030931383166562,0.5323713301024009,0.5040781490325195
HD 75302,581100382135253760,companion,FGKM,,16.4,32.977696569279644,0.8505048751831055,0.0,1.003922939300537,False,0.8505048751831055,4.030931383166562,0.5323713301024009,0.5040781490325195
G 232-62,2005804153064109056,primary,FGKM,0.27,59.0,45.62526269464586,2.851559638977051,0.0,1.2321561574935913,True,2.851559638977051,0.4280864992648809,0.1989564622382175,0.1795928377906606
HD 211472,2005798350576886144,companion,FGKM,,8.5,45.59130522405319,0.9885449409484864,0.0,1.0112457275390625,False,0.9885449409484864,0.4280864992648809,0.1989564622382175,0.1795928377906606
2MASS J22562702+7600101,2281128259862423680,primary,FGKM,0.19,2.51,40.76475958854913,2.960723876953125,0.0,1.2299580574035645,True,2.960723876953125,2.339856314727224,0.1856144321509414,0.1925604294548888
HD 217142,2281114756485256704,companion,FGKM,,20.3,40.682667361756224,1.1153764724731443,,0.9324589371681212,False,1.1153764724731443,2.339856314727224,0.1856144321509414,0.1925604294548888
2MASS J05363846+1117487,3339914973377653760,primary,FGKM,0.29,5.3,87.34527041122139,2.813897132873535,,1.226538896560669,True,2.813897132873535,0.2153541043134414,0.0477818421262945,0.0507449233396375
HD 245409,3339921875389105152,companion,FGKM,,11.2,87.529739914385,1.815884113311768,,1.13435959815979,False,1.815884113311768,0.2153541043134414,0.0477818421262945,0.0507449233396375
HD 183870 B,4187836934609063552,primary,FGKM,0.24,2.32,56.58714297584129,2.8679113388061523,0.0,1.2583688497543335,True,2.8679113388061523,,,
HD 183870,4187837450005193088,companion,FGKM,,,56.56573877095166,1.1076202392578125,0.0,1.0487680435180664,False,1.1076202392578125,,,
TIC 22819180,1500827225817637504,,MM,0.18,0.617,42.350579611406,3.1930113,0.0,1.4539708,True,3.1930113,,,
TIC 22819191,1500826882220275712,,MM,0.14,0.787,42.3239823324059,3.4788618,,1.4430013,True,3.4788618,,,
TIC 197569385,6586289025083317376,,MM,0.17,0.443,23.75630660466512,3.0603666,0.0027,1.0654002,False,3.0576666,,,
TIC 197570145,6586283493165510272,,MM,0.15,0.585,23.64769168263722,3.1940498,,1.113432,False,3.1940498,,,
TIC 37664980,2443287533259504640,,MM,0.27,1.729,28.30725861023992,2.945094,0.0005,1.1549664,False,2.944594,,,
TIC 37664990,2443300108923745408,,MM,0.23,1.562,28.25865027585999,3.0753622,,1.1173128,False,3.0753622,,,
TIC 206617113,4910034311033268480,,MM,0.22,0.49,28.8023016307859,2.953927,0.0,1.1760747,False,2.953927,,,
TIC 206617096,4910041870175701120,,MM,0.2,1.041,28.768932935166607,3.018608,0.0006,1.3075144,True,3.018008,,,
TIC 43734215,4500735468299667072,,MM,0.5,1.201,28.58214238315958,2.68746,0.0008,1.2820605,True,2.6866600000000003,,,
TIC 43789224,4500722037941674496,,MM,0.26,0.287,28.802186329224163,3.1778097,,1.2352464,True,3.1778097,,,
TIC 84731806,2033828956446083584,,MM,0.31,1.993,30.26646287509402,2.7313128,0.0108,1.206802,True,2.7205128,,,
TIC 84731362,2033830811871995136,,MM,0.3,3.034,30.200745823433703,2.8355331,0.0001,1.2175287,True,2.8354331,,,
TIC 450297524,811471054819228288,,MM,0.53,22.0,25.604529029176323,2.2214746,,1.3131323,True,2.2214746,,,
TIC 416857959,811471192258182144,,MM,0.5,17.0,25.627100142151708,2.3785343,0.0011,1.3591689,True,2.3774343,,,
LP 68-239,1641500667620665088,,MM,0.43,2.207,25.69386578247272,2.731842,0.0,1.4779423,True,2.731842,,,
2MASS J15421300+6537051,1641502179449156096,,MM,0.42,0.617,25.690623364969323,2.888956,0.0937,1.1374726,False,2.7952559999999997,,,
LHS 1377,4971681351020953088,,MM,0.4,11.019,74.57353168617364,2.6763525,0.0001,1.5152423,True,2.6762525,,,
