object,source_survey_name,source_survey_id,ref,Prot,e_Prot,ageMyr,e_ageMyr,TIC_ID,GaiaDR2_ID,GaiaDR3_ID,bp_rp,ebpminrp_gspphot,ruwe,parallax,bprp0
2323761887650523520,gaia2,2323761887650523520,Kiman2021,,,149.0,26.0,340703767.0,2323761887650523520,2323761887650523520,2.4381266,0.0,1.4278268,23.259436832686998,2.4381266
2324205785406060928,gaia2,2324205785406060928,Kiman2021,,,24.0,2.0,77022104.0,2324205785406060928,2324205785406060928,3.8207521,,0.9413763,26.755303652319604,
2426606086439824512,gaia2,2426606086439824512,Kiman2021,,,149.0,26.0,40047077.0,2426606086439824512,2426606086439824512,2.698923,,1.6608988,30.84082699894804,
2433191886212246784,gaia2,2433191886212246784,Kiman2021,,,24.0,2.0,434101713.0,2433191886212246784,2433191886212246784,2.028202,,1.1301576,36.42678711034075,
2463211714746424576,gaia2,2463211714746424576,Kiman2021,,,45.0,2.0,25001358.0,2463211714746424576,2463211714746424576,2.3968143,,2.0248907,27.18383102258466,
2477870708709917568,gaia2,2477870708709917568,Kiman2021,,,24.0,2.0,29853348.0,2477870708709917568,2477870708709917568,2.8299637,,1.4883922,26.82316957306465,
248004472671505152,gaia2,248004472671505152,Kiman2021,,,149.0,26.0,65203525.0,248004472671505152,248004472671505152,1.7146101,0.0002,0.9872436,27.48085387139924,1.7144101
2536695439789556352,gaia2,2536695439789556352,Kiman2021,,,1939.0,2308.0,333608307.0,2536695439789556352,2536695439789556352,2.4828148,0.2093,1.0221208,2.5920160717960363,2.2735147
2536947571549610368,gaia2,2536947571549610368,Kiman2021,,,2570.0,2347.0,333558307.0,2536947571549610368,2536947571549610368,2.716385,0.2993,0.98354495,3.398362914830882,2.417085
2543566734628019712,gaia2,2543566734628019712,Kiman2021,,,3046.0,2381.0,244200484.0,2543566734628019712,2543566734628019712,2.7308712,0.3946,0.99830794,2.0649831243012455,2.3362713
2544030286155342080,gaia2,2544030286155342080,Kiman2021,,,1406.0,2143.0,318706994.0,2544030286155342080,2544030286155342080,2.524208,0.2656,0.9889395,2.7487151251235855,2.258608
2784120641627589760,gaia2,2784120641627589760,Kiman2021,,,149.0,26.0,408263079.0,2784120641627589760,2784120641627589760,2.526103,0.0,1.2515414,21.00514411208544,2.526103
2788357364871430400,gaia2,2788357364871430400,Kiman2021,,,24.0,2.0,243153498.0,2788357364871430400,2788357364871430400,2.9453192,0.0005,1.6211367,26.191215375430517,2.9448192
2807539376016115584,gaia2,2807539376016115584,Kiman2021,,,149.0,26.0,611620106.0,2807539376016115584,2807539376016115584,1.7645836,0.0002,1.9126742,19.719765236450947,1.7643836
2808451627064095232,gaia2,2808451627064095232,Kiman2021,,,149.0,26.0,25799110.0,2808451627064095232,2808451627064095232,2.0593748,,1.5417079,20.220877481465507,
2868476822978587904,gaia2,2868476822978587904,Kiman2021,,,149.0,26.0,125254756.0,2868476822978587904,2868476822978587904,2.432787,,1.3154896,23.124811427175622,
2885863400349980288,gaia2,2885863400349980288,Kiman2021,,,149.0,26.0,201426753.0,2885863400349980288,2885863400349980288,2.039917,0.0,1.0226244,44.72034873900521,2.039917
2890783233848205952,gaia2,2890783233848205952,Kiman2021,,,200.0,25.0,143209292.0,2890783233848205952,2890783233848205952,3.0199451,,1.6095791,36.51815761813185,
2895507384340007936,gaia2,2895507384340007936,Kiman2021,,,149.0,26.0,172255639.0,2895507384340007936,2895507384340007936,2.414425,,1.5653214,23.34490615484507,
2901692175901636480,gaia2,2901692175901636480,Kiman2021,,,42.0,3.0,24587624.0,2901692175901636480,2901692175901636480,2.3859453,,1.3162185,16.98116074661047,
2901786974419551488,gaia2,2901786974419551488,Kiman2021,,,24.0,2.0,24452802.0,2901786974419551488,2901786974419551488,3.0310059,,1.2123904,33.599383031038734,
2925888166229550464,gaia2,2925888166229550464,Kiman2021,,,149.0,26.0,78562618.0,2925888166229550464,2925888166229550464,2.1968842,0.2383,1.1790118,15.904567459033416,1.9585842
2959966528395087104,gaia2,2959966528395087104,Kiman2021,,,42.0,3.0,146559015.0,2959966528395087104,2959966528395087104,2.5081177,,1.4675364,17.375958715805304,
2959966528395087104,gaia2,2959966528395087104,Kiman2021,,,42.0,3.0,671115667.0,2959966528395087104,2959966528395087104,2.5081177,,1.4675364,17.375958715805304,
2962658549474035584,gaia2,2962658549474035584,Kiman2021,,,24.0,2.0,146522418.0,2962658549474035584,2962658549474035584,2.2374916,0.0029,1.2776396,50.43438300751032,2.2345917
2968166003220173696,gaia2,2968166003220173696,Kiman2021,,,42.0,3.0,393794445.0,2968166003220173696,2968166003220173696,2.707221,,1.2924142,17.159402382272855,
2972456984784113536,gaia2,2972456984784113536,Kiman2021,,,149.0,26.0,627018.0,2972456984784113536,2972456984784113536,2.5968504,,1.2983804,19.772025392129304,
2976144334466479360,gaia2,2976144334466479360,Kiman2021,,,149.0,26.0,146323525.0,2976144334466479360,2976144334466479360,2.0883846,,4.6172543,17.549101958903734,
2989206326445903616,gaia2,2989206326445903616,Kiman2021,,,42.0,3.0,24518895.0,2989206326445903616,2989206326445903616,2.5142078,0.0832,1.2988499,14.240391230287399,2.4310079
2989206326445904896,gaia2,2989206326445904896,Kiman2021,,,42.0,3.0,24518897.0,2989206326445904896,2989206326445904896,2.9176044,,2.423906,14.429798172959933,
2MASS J00125703-7952073,2MASS,00125703-7952073,Mamonova2025,1.97,,45.0,,290496318.0,4634515972925619968,4634515972925619968,2.5500946,0.0149,1.3387355,21.438033669287588,2.5351946
2MASS J00144767-6003477,2MASS,00144767-6003477,Mamonova2025,0.487,,45.0,,425933644.0,4905813212878537216,4905813212878537216,2.82343,0.0,10.291623,23.11720994589449,2.82343
2MASS J00152752-6414545,2MASS,00152752-6414545,Mamonova2025,3.708,,45.0,,355766445.0,4900372657545000192,4900372657545000192,2.341236,0.0015,1.1015377,20.969680576477238,2.3397362
2MASS J00155556-6137519,2MASS,00155556-6137519,Mamonova2025,2.633,,45.0,,355767053.0,4904674604163917696,4904674604163917696,2.7111025,,1.1905901,18.207907793376158,
2MASS J00172353-6645124,2MASS,00172353-6645124,Mamonova2025,6.575,,24.0,,394137224.0,4707563810327288192,4707563810327288192,2.476882,,0.9501123,27.156649726132354,
2MASS J00235732-5531435,2MASS,00235732-5531435,Mamonova2025,0.651,,45.0,,281461138.0,4920061410401733632,4920061410401733632,3.3166113,,1.3542836,24.03124381803308,
