moca_oid,GaiaDR3_ID,twomass_id,moca_aid,moca_mtid,designation,ra,dec,spectral_type,banyan_prob,gmag,rmag,bmag,parallax_mas,prot_days,age_string_myr,age_myr,age_myr_unc,age_myr_unc_pos,age_myr_unc_neg,k_m,k_cmsig,k_msigcom,k_snr,bp_rp,ebpminrp_gspphot,ruwe,parallax,bprp0
3912211,598905667277445376,08494880+1135098,NGC2682,CM,Gaia DR3 598905667277445376,132.453355,11.586081,(M0.1),99.8718,18.24288,17.24835,19.39579,1.2167621578565937,123.0,~4000,4168.7,,,,14.861,0.0981,0.0985,11.8,2.1473083,0.1383,0.9295044,1.2167621578565937,2.0090084
3912202,598903674412626432,08503620+1136577,NGC2682,CM,Gaia DR3 598903674412626432,132.6508059,11.6160369,(M0.1),99.7014,17.98629,16.99173,19.02136,1.0465908006322229,18.8,~4000,4168.7,,,,14.847,0.1,0.1004,11.96,2.0294628,0.3236,1.0405759,1.0465908006322229,1.7058628
3945078,604907660735224704,08504402+1136293,NGC2682,CM,Gaia DR3 604907660735224704,132.6834098,11.6081323,(M0.2),99.8772,18.29062,17.29059,19.32239,1.2374849895436484,31.3,~4000,4168.7,,,,15.113,0.1176,0.1179,9.04,2.0316505,0.0477,1.0631217,1.2374849895436484,1.9839505
3945282,604919617924301184,08514793+1152025,NGC2682,CM,Gaia DR3 604919617924301184,132.9497328,11.867347,(M0.2),99.9427,17.94577,16.9452,18.95343,1.159765656636281,17.2,~4000,4168.7,,,,14.784,0.0884,0.0888,12.24,2.0084705,0.1728,0.9889206,1.159765656636281,1.8356705
3945482,604948342665639040,08513704+1201247,NGC2682,CM,Gaia DR3 604948342665639040,132.9043316,12.0235412,(M0.3),99.9143,17.95402,16.95184,19.02097,1.248970609740535,31.3,~4000,4168.7,,,,14.647,0.0665,0.0671,15.94,2.068447,0.2585,0.95596755,1.248970609740535,1.8099471
3945625,604970302833797376,08503692+1156439,NGC2682,CM,Gaia DR3 604970302833797376,132.6538048,11.9454894,(M0.3),99.8484,18.16714,17.16279,19.23157,0.988084132786424,24.7,~4000,4168.7,,,,15.009,0.0925,0.0929,11.42,2.0685635,0.0866,0.97180516,0.988084132786424,1.9819635
3945470,604946938211616000,08515825+1157596,NGC2682,CM,Gaia DR3 604946938211616000,132.9927641,11.9665381,(M0.3),99.7919,19.43689,18.43139,20.77518,0.981855671201458,51.0,~4000,4168.7,,,,15.572,0.1591,0.1593,6.8,2.3423462,,1.0216768,0.981855671201458,
3912199,598903055937325312,08502749+1134208,NGC2682,CM,Gaia DR3 598903055937325312,132.614474,11.5724293,(M0.4),99.9284,18.20479,17.1971,19.29388,1.136041161246096,27.3,~4000,4168.7,,,,14.875,0.0938,0.0942,11.65,2.096096,0.3128,1.0232129,1.136041161246096,1.7832961
3945462,604945976139106560,08523273+1201260,NGC2682,CM,Gaia DR3 604945976139106560,133.1364516,12.0237927,(M0.4),98.2855,17.95561,16.94707,18.95211,1.3339925773081347,34.4,~4000,4168.7,,,,14.783,0.0761,0.0766,14.56,2.0052052,0.1479,1.0314863,1.3339925773081347,1.8573052
3945144,604912917781019008,08502104+1142318,NGC2682,CM,Gaia DR3 604912917781019008,132.5876426,11.7088813,(M0.4),97.3135,18.44553,17.43578,19.46748,0.8829544306345735,9.92,~4000,4168.7,,,,15.133,0.1235,0.1238,9.19,2.0315075,0.1522,1.0169827,0.8829544306345735,1.8793075
3945441,604942540165288960,08521875+1153534,NGC2682,CM,Gaia DR3 604942540165288960,133.0781153,11.8981651,(M0.4),99.2418,18.19585,17.18577,19.20856,0.9694080668704472,31.4,~4000,4168.7,,,,14.952,0.0936,0.094,10.85,2.0228386,0.122,1.0306927,0.9694080668704472,1.9008386
3912179,598899997920577664,08500781+1127338,NGC2682,CM,Gaia DR3 598899997920577664,132.5325039,11.459396,(M0.5),99.7535,18.45376,17.43939,19.5529,1.1958262891303546,30.2,~4000,4168.7,,,,15.203,0.1267,0.127,8.61,2.1137886,0.1452,1.0104728,1.1958262891303546,1.9685886
