source_paper,star_name,normalized_name,age_gyr,age_gyr_err_plus,age_gyr_err_minus,age_note_ref,prot_days,prot_err_plus,prot_err_minus,age_err_hi_gyr,age_err_lo_gyr
Engle_2024,LP 709-18,LP 709-18,,,,,3.15,,,,
Engle_2024,UCAC3 151-377752,UCAC3 151-377752,,,,,6.72,,,,
Engle_2024,EPIC 201482319,EPIC 201482319,,,,,11.68,,,,
Engle_2024,Hyades,Hyades,,,,,,,,,
Engle_2024,LP 735-29,LP 735-29,,,,,2.1,,,,
Engle_2024,G 70-46,G 70-46,,,,,2.35,,,,
Engle_2024,GJ 285,GJ 285,,,,,2.78,,,,
Engle_2024,LP 851-399,LP 851-399,,,,,3.07,,,,
Engle_2024,GJ 3127,GJ 3127,,,,,14.79,,,,
Engle_2024,G 152-1,G 152-1,,,,,4.38,,,,
Engle_2024,GJ 4274,GJ 4274,,,,,4.41,,,,
Engle_2024,LHS 1358,LHS 1358,,,,,4.73,,,,
Engle_2024,SCR J1107-3420B,SCR J1107-3420B,,,,,7.61,,,,
Engle_2024,BL Lyn,BL Lyn,,,,,16.4,,,,
Engle_2024,GJ 4071,GJ 4071,,,,,8.16,,,,
Engle_2024,G 151-64,G 151-64,,,,,8.43,,,,
Engle_2024,GJ 669A,GJ 669A,,,,,20.95,,,,
Engle_2024,GJ 479,GJ 479,,,,,23.75,,,,
Engle_2024,GJ 362,GJ 362,,,,,24.87,,,,
Engle_2024,LP 740-10,LP 740-10,,,,,25.01,,,,
Engle_2024,GJ 358,GJ 358,,,,,25.26,,,,
Engle_2024,LHS 5273,LHS 5273,,,,,30.4,,,,
Engle_2024,GJ 674,GJ 674,,,,,33.29,,,,
Engle_2024,GJ 832,GJ 832,,,,,34.78,,,,
Engle_2024,GJ 176,GJ 176,,,,,40.14,,,,
Engle_2024,GJ 3293,GJ 3293,,,,,41.0,,,,
Engle_2024,LP 734-34,LP 734-34,,,,,42.99,,,,
Engle_2024,GJ 752A,GJ 752A,,,,,46.6,,,,
Engle_2024,GJ 889B,GJ 889B,,,,,51.2,,,,
Engle_2024,GJ 588,GJ 588,,,,,51.7,,,,
Engle_2024,GJ 877,GJ 877,,,,,52.8,,,,
Engle_2024,GJ 1088,GJ 1088,,,,,53.74,,,,
Engle_2024,GJ 163,GJ 163,,,,,56.04,,,,
Engle_2024,GJ 618A,GJ 618A,,,,,56.52,,,,
Engle_2024,WT 244,WT 244,,,,,66.45,,,,
Engle_2024,LP 816-60,LP 816-60,,,,,67.6,,,,
Engle_2024,GJ 849,GJ 849,,,,,71.05,,,,
Engle_2024,GJ 436,GJ 436,,,,,71.4,,,,
Engle_2024,GJ 1148,GJ 1148,,,,,71.5,,,,
Engle_2024,L 154-205,L 154-205,,,,,73.14,,,,
Engle_2024,GJ 12,GJ 12,,,,,78.5,,,,
Engle_2024,LHS 610,LHS 610,,,,,78.8,,,,
Engle_2024,LP 780-32,LP 780-32,,,,,79.15,,,,
Engle_2024,L 50-78,L 50-78,,,,,80.97,,,,
Engle_2024,GJ 4132,GJ 4132,,,,,84.99,,,,
Engle_2024,GJ 357,GJ 357,,,,,86.1,,,,
Engle_2024,GJ 876,GJ 876,,,,,87.95,,,,
Engle_2024,GJ 3323,GJ 3323,,,,,88.5,,,,
Engle_2024,GJ 551,GJ 551,,,,,88.98,,,,
Engle_2024,GJ 876,GJ 876,,,,,91.0,,,,
Engle_2024,GJ 3843,GJ 3843,,,,,91.43,,,,
Engle_2024,L 127-124,L 127-124,,,,,91.62,,,,
Engle_2024,UCAC4 195-119117,UCAC4 195-119117,,,,,93.7,,,,
Engle_2024,GJ 836,GJ 836,,,,,94.25,,,,
Engle_2024,GJ 3382,GJ 3382,,,,,95.0,,,,
Engle_2024,LP 728-71,LP 728-71,,,,,99.66,,,,
Engle_2024,GJ 1057,GJ 1057,,,,,102.0,,,,
Engle_2024,GJ 667C,GJ 667C,,,,,103.1,,,,
Engle_2024,GJ 628,GJ 628,,,,,108.7,,,,
Engle_2024,GJ 3963,GJ 3963,,,,,122.66,,,,
Engle_2024,GJ 447,GJ 447,,,,,124.95,,,,
Engle_2024,PM J08446-4805,PM J08446-4805,,,,,129.51,,,,
Engle_2024,L 210-11,L 210-11,,,,,136.92,,,,
Engle_2024,GJ 581,GJ 581,,,,,147.8,,,,
Engle_2024,GJ 699,GJ 699,,,,,149.5,,,,
Engle_2024,GJ 273,GJ 273,,,,,160.83,,,,
Engle_2024,LP 855-60,LP 855-60,,,,,154.89,,,,
Engle_2024,GJ 191,GJ 191,,,,,153.2,,,,
