source_paper,star_name,normalized_name,age_gyr,age_gyr_err_plus,age_gyr_err_minus,age_note_ref,prot_days,prot_err_plus,prot_err_minus,age_err_hi_gyr,age_err_lo_gyr
Engle_2023,GJ 273,GJ 273,9.5,1.5,-1.5,,157.3,5.7,-5.7,1.5,1.5
Engle_2023,GJ 581,GJ 581,9.5,1.5,-1.5,,148.1,0.9,-0.9,1.5,1.5
Engle_2023,LHS 1802,LHS 1802,9.97,1.98,-2.39,,150.4,2.4,-2.4,1.98,2.39
Engle_2023,LHS 182,LHS 182,11.5,1.0,-1.5,,161.4,5.2,-5.2,1.0,1.5
Engle_2023,GJ 1062,GJ 1062,11.5,1.0,-1.5,,159.5,2.1,-3.4,1.0,1.5
Engle_2023,LHS 3382,LHS 3382,11.5,1.0,-1.5,,169.2,9.3,-3.7,1.0,1.5
Engle_2023,LHS 216,LHS 216,11.5,1.0,-1.5,,174.4,2.8,-2.8,1.0,1.5
Engle_2023,Kapteyn's Star (GJ 191),Kapteyn's Star,11.5,1.0,-1.5,,153.2,3.7,-3.7,1.0,1.5
Engle_2024,1RXS J041330.7+251052,1RXS J041330.7+251052,,,,,2.22,,,,
Engle_2024,EPIC 201909533,EPIC 201909533,,,,,2.29,,,,
Engle_2024,1RXS J030708.3+323528,1RXS J030708.3+323528,,,,,2.35,,,,
Engle_2024,EPIC 210651981,EPIC 210651981,,,,,2.44,,,,
Engle_2024,1RXS J231233.3+391140,1RXS J231233.3+391140,,,,,2.47,,,,
Engle_2024,GSC 03517-00212,GSC 03517-00212,,,,,2.61,,,,
Engle_2024,UCAC4 630-046962,UCAC4 630-046962,,,,,2.69,,,,
Engle_2024,CK Tri,CK Tri,,,,,2.73,,,,
Engle_2024,LP 152-39,LP 152-39,,,,,2.79,,,,
Engle_2024,Pleiades/NGC 2516,Pleiades/NGC 2516,,,,,,,,,
Engle_2024,DT Vir (GJ 494),DT Vir,,,,,2.89,,,,
Engle_2024,UCAC4 587-034710,UCAC4 587-034710,,,,,3.05,,,,
Engle_2024,UCAC4 681-049380,UCAC4 681-049380,,,,,3.22,,,,
Engle_2024,1RXS J085922.2+403351,1RXS J085922.2+403351,,,,,3.25,,,,
Engle_2024,OT Ser (GJ 9520),OT Ser,,,,,3.37,,,,
Engle_2024,HAT 169-07364,HAT 169-07364,,,,,3.42,,,,
Engle_2024,PM J23045+4014,PM J23045+4014,,,,,3.56,,,,
Engle_2024,EPIC 206349327,EPIC 206349327,,,,,3.72,,,,
Engle_2024,G 80-21,G 80-21,,,,,3.88,,,,
Engle_2024,G 173-18,G 173-18,,,,,4.12,,,,
Engle_2024,FK Aqr (GJ 867A),FK Aqr,,,,,4.23,,,,
Engle_2024,2MASS J05071824+5307115,2MASS J05071824+5307115,,,,,4.23,,,,
Engle_2024,HAT 222-10112,HAT 222-10112,,,,,4.77,,,,
Engle_2024,2MASS J04160235+3325301,2MASS J04160235+3325301,,,,,4.77,,,,
Engle_2024,BD-17 6768,BD-17 6768,,,,,4.83,,,,
Engle_2024,au Mic (GJ 803),au Mic,,,,,4.85,,,,
Engle_2024,EPIC 202059229,EPIC 202059229,,,,,5.01,,,,
Engle_2024,GSC 02083-01558,GSC 02083-01558,,,,,5.34,,,,
Engle_2024,1RXS J175750.3+471634,1RXS J175750.3+471634,,,,,5.45,,,,
Engle_2024,LP 149-56,LP 149-56,,,,,6.17,,,,
Engle_2024,NGC 6475,NGC 6475,,,,,,,,,
Engle_2024,TYC 3059-299-1,TYC 3059-299-1,,,,,6.46,,,,
Engle_2024,CD-72 1700A (GJ 1264),CD-72 1700A,,,,,6.67,,,,
Engle_2024,UCAC4 678-130516,UCAC4 678-130516,,,,,6.85,,,,
Engle_2024,TYC 2703-706-1,TYC 2703-706-1,,,,,7.8,,,,
Engle_2024,UCAC4 666-047939,UCAC4 666-047939,,,,,7.85,,,,
Engle_2024,EPIC 202059204,EPIC 202059204,,,,,7.89,,,,
Engle_2024,1RXS J051125.0+265849,1RXS J051125.0+265849,,,,,8.09,,,,
Engle_2024,UCAC4 729-006249,UCAC4 729-006249,,,,,8.35,,,,
Engle_2024,TYC 3425-1133-1,TYC 3425-1133-1,,,,,8.35,,,,
Engle_2024,2MASS J21154192+1746242,2MASS J21154192+1746242,,,,,9.02,,,,
Engle_2024,UCAC4 643-115616,UCAC4 643-115616,,,,,9.65,,,,
Engle_2024,CK Ari,CK Ari,,,,,9.7,,,,
Engle_2024,UCAC4 654-053944,UCAC4 654-053944,,,,,10.08,,,,
Engle_2024,UCAC4 669-046011,UCAC4 669-046011,,,,,10.35,,,,
Engle_2024,TYC 3483-856-1,TYC 3483-856-1,,,,,10.54,,,,
Engle_2024,EPIC 210741091,EPIC 210741091,,,,,10.95,,,,
Engle_2024,EPIC 210707811,EPIC 210707811,,,,,11.77,,,,
Engle_2024,GJ 3367,GJ 3367,,,,,12.05,,,,
Engle_2024,V2689 Ori,V2689 Ori,,,,,12.29,,,,
Engle_2024,M37,M37,,,,,,,,,
Engle_2024,BD+16 2708 (GJ 569 A),BD+16 2708,,,,,13.68,,,,
Engle_2024,StKM 1-1215,StKM 1-1215,,,,,13.91,,,,
Engle_2024,DS Leo (GJ 410),DS Leo,,,,,14.52,,,,
Engle_2024,Hyaeds/Praesepe,Hyaeds/Praesepe,,,,,,,,,
Engle_2024,1RXS J133332.0+364153,1RXS J133332.0+364153,,,,,15.36,,,,
Engle_2024,TYC 3142-1028-1,TYC 3142-1028-1,,,,,15.65,,,,
Engle_2024,HD 11507,HD 11507,,,,,15.8,,,,
Engle_2024,UCAC4 650-018148,UCAC4 650-018148,,,,,16.14,,,,
Engle_2024,StKM 1-1407,StKM 1-1407,,,,,16.15,,,,
Engle_2024,GJ 3942,GJ 3942,,,,,16.3,,,,
Engle_2024,GJ 685,GJ 685,,,,,16.3,,,,
Engle_2024,GJ 338A,GJ 338A,,,,,16.3,,,,
Engle_2024,G 115-72,G 115-72,,,,,16.61,,,,
Engle_2024,GJ 338B,GJ 338B,,,,,16.61,,,,
Engle_2024,GJ 694.2,GJ 694.2,,,,,17.3,,,,
Engle_2024,EPIC 202059231,EPIC 202059231,,,,,17.43,,,,
Engle_2024,GJ 3822,GJ 3822,,,,,18.3,,,,
Engle_2024,GJ 49,GJ 49,,,,,19.45,,,,
Engle_2024,GJ 606,GJ 606,,,,,20.0,,,,
Engle_2024,1RXS J165257.4+255744,1RXS J165257.4+255744,,,,,20.22,,,,
Engle_2024,GJ 2,GJ 2,,,,,21.2,,,,
Engle_2024,GJ 720A,GJ 720A,,,,,34.5,,,,
Engle_2024,GJ 47,GJ 47,,,,,34.7,,,,
Engle_2024,HD 38529c,HD 38529c,,,,,35.9,,,,
Engle_2024,GJ 740,GJ 740,,,,,36.4,,,,
Engle_2024,GJ 832,GJ 832,,,,,38.1,,,,
Engle_2024,EPIC 201675315,EPIC 201675315,,,,,38.13,,,,
Engle_2024,HD 285968 (GJ 176),HD 285968,,,,,40.13,,,,
Engle_2024,BD-18 359,BD-18 359,,,,,44.51,,,,
Engle_2024,LHS 373 (GJ 552),LHS 373,,,,,44.9,,,,
Engle_2024,GJ 15A,GJ 15A,,,,,44.95,,,,
Engle_2024,GJ 752A,GJ 752A,,,,,46.6,,,,
Engle_2024,GJ 625,GJ 625,,,,,51.22,,,,
Engle_2024,BR Psc (GJ 908),BR Psc,,,,,53.7,,,,
Engle_2024,GJ 476,GJ 476,,,,,55.0,,,,
Engle_2024,HD 95735b (GJ 411),HD 95735b,,,,,56.15,,,,
Engle_2024,GJ 1,GJ 1,,,,,56.8,,,,
Engle_2024,GJ 625,GJ 625,,,,,60.7,,,,
Engle_2024,GJ 433,GJ 433,,,,,72.6,,,,
Engle_2024,Pleiades/NGC 2516,Pleiades/NGC 2516,,,,,,,,,
Engle_2024,LP 263-64,LP 263-64,,,,,2.06,,,,
Engle_2024,1RXS J175537.7+485740,1RXS J175537.7+485740,,,,,2.24,,,,
Engle_2024,BD+20 2465 (AD Leo),BD+20 2465,,,,,2.24,,,,
Engle_2024,2MASS J16243140+4549570,2MASS J16243140+4549570,,,,,2.36,,,,
Engle_2024,LP 302-37,LP 302-37,,,,,2.6,,,,
Engle_2024,1RXS J031028.8+285952,1RXS J031028.8+285952,,,,,2.87,,,,
Engle_2024,Ross 154 (GJ 729),Ross 154,,,,,2.87,,,,
Engle_2024,LP 195-34,LP 195-34,,,,,3.39,,,,
Engle_2024,1RXS J222653.9+354610,1RXS J222653.9+354610,,,,,3.55,,,,
Engle_2024,2MASS J16182491+4437110,2MASS J16182491+4437110,,,,,4.07,,,,
Engle_2024,NGC 6475,NGC 6475,,,,,,,,,
Engle_2024,1RXS J174409.9+473444,1RXS J174409.9+473444,,,,,4.45,,,,
Engle_2024,UCAC4 610-011032,UCAC4 610-011032,,,,,5.85,,,,
Engle_2024,HAT 214-03527,HAT 214-03527,,,,,6.55,,,,
Engle_2024,2MASS J22170696+3627164,2MASS J22170696+3627164,,,,,7.04,,,,
Engle_2024,CW UMa,CW UMa,,,,,7.78,,,,
Engle_2024,BL Lyn,BL Lyn,,,,,7.85,,,,
Engle_2024,2MASS J08445708+4640261,2MASS J08445708+4640261,,,,,8.81,,,,
Engle_2024,LP 197-37,LP 197-37,,,,,9.36,,,,
Engle_2024,G 176-13,G 176-13,,,,,10.75,,,,
Engle_2024,M37,M37,,,,,,,,,
Engle_2024,HAT 170-05945,HAT 170-05945,,,,,10.86,,,,
Engle_2024,HAT 136-02868,HAT 136-02868,,,,,11.99,,,,
Engle_2024,HAT 216-04245,HAT 216-04245,,,,,12.49,,,,
Engle_2024,1RXS J040731.6+340525,1RXS J040731.6+340525,,,,,12.54,,,,
Engle_2024,Hyades/Praesepe,Hyades/Praesepe,,,,,,,,,
Engle_2024,PM J04310+3647,PM J04310+3647,,,,,13.26,,,,
Engle_2024,G 123-35,G 123-35,,,,,13.59,,,,
Engle_2024,EPIC 210434976,EPIC 210434976,,,,,2.55,,,,
