df_id,prot_id,GaiaDR3_ID,subgroup,data_catalog,prot_source,P_rot,mem_prob_val,mem_prob_val_source,P_out,ra,dec,pmra,pmdec,G0,BPRP0,BPRP0_err,logBPRP0_err,sampled_avg_dist_pc,dustmap_query,dustmap_used,age_Myr,logA_Myr,cmd_exclude,parallax,parallax_error,twomass_id,k_m,k_cmsig,A_Ks,A_Ks_err,k_m_0,M_Ks,flag_outside_mann_range,mass_msun,mass_msun_err
38227,38227,5290651323511794816,NGC2516,F+20,Fritzewski2020,6.312,0.9847927558390978,PC,0.05,119.74877564320528,-61.1818790444875,-4.815589950124294,11.08859972196965,13.874331188201763,1.0427983860929382,0.0157076518410071,-1.8038887334014355,404.049094068156,Edenhofer,Edenhofer,263.0,2.42,0,2.43921946222173,0.013315579,07585971-6110549,12.047,0.023,0.0270709319134088,0.00138837939419,12.019929068086592,3.956183450844396,True,,
38229,38229,5290652663541576832,NGC2516,F+20,Fritzewski2020,3.979,0.7141220604771276,PC,0.05,119.61300964412632,-61.21348870610452,-4.009733401460018,11.072641853297384,14.529638681088104,1.213373969948525,0.0158308779273888,-1.800494999954571,420.1007747723485,Edenhofer,Edenhofer,263.0,2.42,0,2.3575916067163623,0.017674234,07582713-6112487,12.403,0.024,0.028443437418755,0.001459230658573,12.374556562581246,4.236899446125387,True,,
38232,38232,5290653350736340736,NGC2516,F+20,Fritzewski2020,8.524,1.0,PC,0.05,119.50911579428768,-61.19114913059818,-4.920168615971372,11.32748345185646,13.608169650333105,1.1687538818600398,0.0154135983726015,-1.8120959614804992,407.05403302445774,Edenhofer,Edenhofer,263.0,2.42,0,2.4294297515885863,0.011841184,07580218-6111283,11.632,0.026,0.0280053757482359,0.0014365407540412,11.603994624251763,3.5315163527337745,True,,
38248,38248,5290659363690545920,NGC2516,F+20,Fritzewski2020,0.545,0.9717937431277572,PC,0.05,119.4072840698518,-61.196907956514195,-4.888470101238189,11.234139300614514,15.252331732331411,1.5473479560872916,0.0184296785440317,-1.7344822398091793,411.8195402803808,Edenhofer,Edenhofer,263.0,2.42,0,2.397251518595608,0.029316008,07573776-6111491,12.56,0.023,0.028265805757807,0.0014506185303997,12.531734194242194,4.430302206312051,True,,
23879,23879,145034968209407232,Taurus_D3,L+23,Long2023,2.778,0.9,source,0.05,67.82024622154509,21.840279556121672,0.5447384245973845,-14.986500451967869,10.524611465972862,1.0168212491087352,0.0157349356815319,-1.8031350279787777,123.99209988375245,Edenhofer,Edenhofer,6.22,0.7938000000000001,0,8.02316948286061,0.016858507,04311686+2150252,8.734,0.02,0.0031877627198592,0.0001730475702936,8.73081223728014,3.2525420693469016,True,,
23843,23843,145203704587705088,Taurus_C5,L+23,Long2023,3.73,0.9,source,0.05,68.56370464481017,22.841812511516327,11.067709356832356,-16.82794162409496,18.038413034964822,3.4497509261602923,0.6248318442984754,-0.2042368449267118,162.05509046794876,Edenhofer,Edenhofer,2.01,0.3032000000000003,0,6.138990480605845,0.38404146,04341527+2250309,11.849,0.018,0.11384912065553,0.0252559179144893,11.73515087934447,5.675635679065994,False,0.4964313654623835,0.02542244441578154
23816,23816,145217379763796992,Taurus_C5,L+23,Long2023,0.966,0.9,source,0.05,69.16224966214106,22.969886167029312,9.214297032350546,-16.477912049051902,17.2053198373375,4.153749013333825,0.2420990596182407,-0.6160068974785567,178.8193365924701,Edenhofer,Edenhofer,2.01,0.3032000000000003,0,5.54197702420541,0.20539594,04363893+2258119,12.367,0.025,0.1260966544620421,0.0065265224203552,12.240903345537959,5.959226950349779,False,0.4504779258395036,0.017250310008929293
29720,29720,145951789107603200,Taurus_C5,L+23,Long2023,2.205,0.9,source,0.05,68.20469024896032,22.884054084380224,7.617657439766367,-15.777537287212985,12.896429807355984,2.209177209680636,0.1136316612127497,-0.9445006442043432,161.1445753688324,both,Edenhofer,2.01,0.3032000000000003,0,6.152057523121827,0.0221627,04324911+2253027,8.169,0.023,0.119988539689707,0.0061609316553962,8.049011460310293,1.9941133981276185,True,,
23807,23807,146675954953119104,Taurus_C6,L+23,Long2023,6.398,0.9,source,0.05,69.56505447855297,23.040908138079157,-1.1212145656157482,-17.177806259876203,12.939699021805875,1.9969305660403385,0.0149855376280545,-1.8243276714898429,125.74365904733996,Edenhofer,Edenhofer,1.57,0.1958999999999999,0,7.925443129634357,0.018124672,04381561+2302276,9.769,0.021,0.0028006509345453,0.000145276402826,9.766199349065454,4.261317118892787,True,,
23811,23811,148420639387738112,Taurus_C7,L+23,Long2023,0.664,0.9,source,0.05,69.50363896330232,25.98247609844131,5.300793626196495,-22.279837637011568,15.94449067243292,5.027377645392644,0.2300608640402165,-0.6381572534606362,147.06010607494164,Edenhofer,Edenhofer,2.59,0.4132999999999995,0,6.779420055200156,0.115809664,04380083+2558572,10.097,0.023,0.0393104072235186,0.0130747138870558,10.05768959277648,4.213652311670032,True,,
23782,23782,148599305732728320,Taurus_D4,L+23,Long2023,0.982,0.9,source,0.05,70.4798006356311,26.980297728828287,-1.7895080180264364,-21.73188077922974,9.537888096250104,0.855383431940802,0.0151255171817391,-1.820289766735962,109.47893847215396,Edenhofer,Edenhofer,2.49,0.3962000000000003,0,9.096858187748866,0.017608114,04415515+2658495,7.973,0.029,0.0016486619103305,8.469425835347776e-05,7.9713513380896694,2.7658084605067863,True,,
21035,21035,2075876858039254272,NGC6866,L+23,Long2023,1.095,1.0,PC,0.05,300.9752231980204,44.07106277294875,-1.4004347327307718,-5.74696035686967,13.695000881282924,0.5186393606715441,0.0384473907574354,-1.4151331283748685,1389.2125154888286,Bayestar,Bayestar,735.0,2.8666,0,0.6885054818231461,0.012580855,20035405+4404159,12.872,0.027,0.0234062398731708,0.0030045171782631,12.848593760126828,2.038130772242342,True,,
21040,21040,2075877373435348096,NGC6866,L+23,Long2023,0.737,0.7286183828340211,PC,0.05,300.9541440596467,44.136658729932854,-1.2901347598986694,-5.729583288128255,13.671848097221137,0.4819225891030787,0.0324330796918568,-1.4890118108189676,1397.0018014561351,Bayestar,Bayestar,735.0,2.8666,0,0.6878663164217886,0.012789816,20034899+4408121,12.898,0.031,0.0340454392390251,0.0027371903366229,12.863954560760975,2.0514747775081066,True,,
21045,21045,2075877648313310080,NGC6866,L+23,Long2023,0.509,0.7807960957128922,PC,0.05,301.01957266089653,44.1581995682931,-1.445983177093376,-5.7227610768433514,13.536592166136504,0.4562216510955333,0.0531609375084613,-1.2744073687533592,1369.5377338211608,Bayestar,Bayestar,735.0,2.8666,0,0.6974401761687969,0.012177777,20040470+4409296,12.834,0.029,0.032310600405693,0.0039429622035001,12.801689399594306,2.019224206462054,True,,
21052,21052,2075877888831465600,NGC6866,L+23,Long2023,0.452,1.0,PC,0.05,300.98315789262574,44.17949764016352,-1.337649242716893,-5.731001879373117,13.501337465773164,0.4731281930219483,0.0416404248986896,-1.3804848476001466,1386.3036240892648,Bayestar,Bayestar,735.0,2.8666,0,0.6972925964719869,0.011687941,20035596+4410462,12.676,0.049,0.0255340794292688,0.0030229281373277,12.650465920570731,1.8675411910350768,True,,
21079,21079,2076065076378847744,NGC6866,L+23,Long2023,8.493,0.3509621706371085,PC,0.05,300.912912916973,44.14751069750735,-1.3124269191765112,-5.896300057271498,16.539627502227454,1.061006802560125,0.0184451452616617,-1.7341179202100307,1218.91739786942,both,Edenhofer,735.0,2.8666,0,0.7855847125246815,0.04698394,20033910+4408512,14.64,0.092,0.0247731862306778,0.0012704198067014,14.615226813769322,4.091191931230663,True,,
18487,18487,2076065630440126208,NGC6866,L+23,Long2023,18.564,1.0,PC,0.05,300.9456655013008,44.20542267557508,-1.3265721950153213,-5.765839157603175,13.021449965773169,0.3567875530219483,0.0420914560229984,-1.3758060509253764,1383.5572952369214,Bayestar,Bayestar,735.0,2.8666,0,0.696027291729422,0.010056823,20034696+4412196,12.503,0.025,0.0255340794292688,0.0030523208978743,12.477465920570731,1.690597265283822,True,,
21093,21093,2076066145836177408,NGC6866,L+23,Long2023,0.402,1.0,PC,0.05,300.8877228091921,44.20176355556754,-1.3355004022704455,-5.755041922831424,13.341964525131704,0.4090799026861762,0.0204608419762755,-1.689076498770164,1395.7862431138606,Bayestar,Bayestar,735.0,2.8666,0,0.6847216030162188,0.011455469,20033305+4412065,12.713,0.027,0.0404289594926834,0.0023826817245541,12.672571040507316,1.850141191036636,True,,
18490,18490,2076066661232275456,NGC6866,L+23,Long2023,0.84,0.8686098530571486,PC,0.05,300.913210158028,44.2386090959496,-1.369251984256851,-5.8325666429118925,11.549662087011813,0.1790117266994666,0.1657093684150451,-0.7806529379539578,1389.5398733999152,Bayestar,Bayestar,735.0,2.8666,0,0.6793402746915481,0.010903523,20033917+4414190,11.297,0.021,0.0489403177170753,0.0143389962790983,11.248059682282925,0.40849649480530914,True,,
21103,21103,2076069032054110208,NGC6866,L+23,Long2023,2.21,0.5865975740781186,PC,0.05,300.6798796431149,44.253438281698514,-1.329608639332005,-5.876737967229571,14.652964372496587,0.7291356535375038,0.0162180932510299,-1.7900002067976837,1323.6427397909565,both,Edenhofer,735.0,2.8666,0,0.7362129948707901,0.018994067,20024317+4415125,13.45,0.047,0.0438917059464454,0.0059488156361215,13.406108294053555,2.7411256885314685,True,,
24796,24796,2076294603740304256,NGC6819,L+23,Long2023,7.13,0.8726449825939665,PC,0.05,295.42915200590073,40.05811224521472,-2.8577471265577508,-3.966132940077256,14.335212719243884,0.7537671100731612,0.0432270471205284,-1.3642444305098562,2366.0750241312603,Bayestar,Bayestar,2310.0,3.3636999999999997,0,0.3854583094765364,0.016329003,19414299+4003293,13.119,0.031,0.0347683019642829,0.0049272779849486,13.084231698035717,1.0141187598615424,True,,
24798,24798,2076294844258425984,NGC6819,L+23,Long2023,7.751,0.9711417399519484,PC,0.05,295.3881735748951,40.04055925909914,-2.9422314583504394,-3.898758813178889,14.39940618492937,0.7474974956601141,0.0501093600578573,-1.3000811435579815,2585.618355592131,Bayestar,Bayestar,2310.0,3.3636999999999997,0,0.3698241290744956,0.016741429,19413316+4002262,13.198,0.035,0.0361732803804874,0.0033917463463046,13.161826719619514,1.0018029354827895,True,,
multi,multi,2076295527145521792,NGC6819,multi,multi,22.049,0.3237209986958085,PC,0.05,295.38787600076967,40.086752681338794,-3.1118407060711757,-3.678371285152005,17.850913665415643,1.1464661935572389,0.0433937643918233,-1.3625726733627663,2467.1614961743335,,Bayestar,2310.0,3.3636999999999997,0,0.3412009468366768,0.09546721,19413308+4005126,15.309,,0.0180245546290432,0.0009243361348227,15.290975445370956,2.956026583718451,True,,
24807,24807,2076297455598475520,NGC6819,L+23,Long2023,4.267,0.6742434008742973,PC,0.05,295.2367822466298,40.06721775628933,-2.9364082850483277,-3.74289198189286,14.603676965773166,0.6920584230219483,0.0379568347300847,-1.4207100111176023,2538.260907120014,Bayestar,Bayestar,2310.0,3.3636999999999997,0,0.3643481757175789,0.01761578,19405683+4004020,13.497,0.044,0.0255340794292688,0.0023552453329121,13.471465920570731,1.2790489173926645,True,,
31943,31943,2076299414103591936,NGC6819,L+23,Long2023,4.746,0.8257819118327722,PC,0.05,295.2422763088889,40.12887340442427,-2.907392829310613,-3.8895655358441856,15.234190616207124,0.7146276833885192,0.0939043555665485,-1.0273142633819414,2753.8786554784197,Bayestar,Bayestar,2310.0,3.3636999999999997,0,0.3439759688790639,0.021725249,19405815+4007440,14.089,0.072,0.0276619189853668,0.0050201574143254,14.061338081014634,1.7439785940500094,True,,
