catalog,gaiadr3_id,star_name,ra,dec,parallax,source_paper,likely_mdwarf,BPRP0
training_stars,4472832130942576128,Barnard's Star (GJ 699),269.4485025254384,4.739420051112412,546.975939730948,Engle2023,,
training_stars,4810594479418042368,Kapteyn's Star (GJ 191),77.9599373502188,-45.0438126993602,254.19859326384577,Engle2023,,
training_stars,5239559011062184960,Gaia DR2 5239559011062184960,163.5283622692771,-65.03859760172496,6.4718464561920515,MOCADB,,
training_stars,243171706750419200,Gaia DR2 243171706750419200,51.6227168,47.758138,5.596194514783273,MOCADB,,
training_stars,5537621735560202752,Gaia DR2 5537621735560202752,117.8847655,-39.794498,5.167911802575865,MOCADB,,
training_stars,2944893220412325888,Gaia DR3 2944893220412325888,95.2210827,-16.1735903,2.53726696909194,MOCADB,,
training_stars,5289879638142176768,Gaia eDR3 5289879638142176768,119.9599366,-61.54979,2.6180966082126553,MOCADB,,
training_stars,5825702715598259840,Gaia DR3 5825702715598259840,234.51981285450057,-65.28219978561408,1.7856534414047542,MOCADB,,
training_stars,5290823671959351296,Gaia DR2 5290823671959351296,120.01014424893624,-60.58704713339661,2.4909578565853088,MOCADB,,
training_stars,4065971979238016896,Gaia DR3 4065971979238016896,271.14667564961206,-24.393093637545668,0.7782426185975769,MOCADB,,
training_stars,4054317907598107520,Gaia eDR3 4054317907598107520,265.2452737,-32.08555305,2.0319744422689,MOCADB,,
training_stars,5290748389769933696,Gaia DR3 5290748389769933696,120.2979223,-60.9659656,2.79359026331502,MOCADB,,
training_stars,4054143325756644096,Gaia DR2 4054143325756644096,265.16136056,-32.73590637,2.313396997910616,MOCADB,,
training_stars,4066070419899319552,Gaia DR3 4066070419899319552,271.14713037265057,-24.288552532010986,0.9172458620533336,MOCADB,,
training_stars,604896631259520512,Gaia DR3 604896631259520512,132.877808,11.5993556,0.97861228090277,MOCADB,,
training_stars,604996618098066432,Gaia DR3 604996618098066432,132.8777585,12.1113683,1.2986498350397653,MOCADB,,
training_stars,4066068770631144320,Gaia DR3 4066068770631144320,271.1349951275442,-24.370416368311112,0.7305890462748565,MOCADB,,
training_stars,3451181010326790144,Gaia DR3 3451181010326790144,88.09840469038353,32.54320648840918,0.9516530684561094,MOCADB,,
training_stars,3051549146839517440,Gaia DR3 3051549146839517440,105.7997048,-8.4240519,1.0973972921991697,MOCADB,,
training_stars,604913403107275008,Gaia DR3 604913403107275008,132.6378676,11.7329401,1.075576492366983,MOCADB,,
training_stars,604908107412145408,Gaia DR3 604908107412145408,132.7750899,11.6522185,1.2116511191549415,MOCADB,,
training_stars,3451193899527038464,Gaia DR3 3451193899527038464,88.0171580674575,32.59476021648126,0.9064973052136676,MOCADB,,
training_stars,604974529083276800,Gaia DR3 604974529083276800,132.5953429,12.0155833,1.52211686599618,MOCADB,,
training_stars,604920584291606144,Gaia DR3 604920584291606144,132.792054,11.8094856,0.4615946126884351,MOCADB,,
training_stars,604939271694093440,Gaia DR3 604939271694093440,133.266456,12.0050415,1.408443519271522,MOCADB,,
training_stars,604906973546358528,Gaia DR3 604906973546358528,133.0710701,11.8304094,0.7467233793999208,MOCADB,,
training_stars,598908278617636608,Gaia DR3 598908278617636608,132.549081,11.7092644,0.6197134025778058,MOCADB,,
training_stars,5289758313909518848,Gaia DR2 5289758313909518848,122.2491074,-61.2781752,2.080341458950819,MOCADB,,
training_stars,604964010707107840,Gaia DR3 604964010707107840,132.6119199,11.8963473,0.4338594661560045,MOCADB,,
training_stars,508015535002881408,Gaia DR3 508015535002881408,29.27755164274747,60.46130814197454,2.5235068343291447,MOCADB,,
training_stars,604974284268110720,Gaia DR3 604974284268110720,132.6818194,12.0361752,1.2956489626392054,MOCADB,,
training_stars,598956450970778624,Gaia DR3 598956450970778624,132.475047,11.7639774,0.4190424804338723,MOCADB,,
training_stars,3451179983829917824,Gaia DR3 3451179983829917824,87.9885184079851,32.507884649917266,0.9108717855744416,MOCADB,,
training_stars,3451198705592803584,Gaia DR3 3451198705592803584,87.9258221,32.7258593,0.7766955593167519,MOCADB,,
training_stars,3451181250845334016,Gaia DR3 3451181250845334016,88.01935224032177,32.510574850454205,0.5014867402436042,MOCADB,,
training_stars,3451173318040777216,Gaia DR3 3451173318040777216,87.87011356863601,32.401930815685674,0.5788023447452245,MOCADB,,
training_stars,3451175547127212672,Gaia DR3 3451175547127212672,88.07313155166642,32.40622297001744,0.4779766235373567,MOCADB,,
training_stars,604982736763369856,Gaia DR3 604982736763369856,132.3122552,12.014177,1.1032627287874317,MOCADB,,
training_stars,604968408756601088,Gaia DR3 604968408756601088,132.5298699449701,11.961630161626571,0.8185752026884082,MOCADB,,
training_stars,604909383016937088,Gaia DR3 604909383016937088,132.7203065,11.6904085,1.0376210090099838,MOCADB,,
training_stars,2934573964491243264,Gaia DR3 2934573964491243264,107.10207790552406,-17.553812541981866,1.4718311737734475,MOCADB,,
training_stars,604922057465857792,Gaia DR3 604922057465857792,132.7686913528674,11.883741959791012,1.1517663203861226,MOCADB,,
training_stars,5290752993974830208,Gaia DR3 5290752993974830208,120.1001089,-60.8607606,2.408464148849512,MOCADB,,
training_stars,3426268383241688064,Gaia DR3 3426268383241688064,92.23088741962805,24.325618238262983,1.2390803802775987,MOCADB,,
training_stars,604968172529056384,Gaia DR3 604968172529056384,132.4771795,11.963699,1.67507339921775,MOCADB,,
training_stars,604910924910708224,Gaia DR3 604910924910708224,132.7473034,11.7170728,1.4319211479824427,MOCADB,,
training_stars,604909967133412096,Gaia DR3 604909967133412096,132.8145061,11.7009531,1.5270743656948256,MOCADB,,
training_stars,598906835508558336,Gaia DR3 598906835508558336,132.5822072,11.6306628,0.7664970601451003,MOCADB,,
training_stars,489845525529834368,Gaia DR2 489845525529834368,57.9727873097029,65.6710208041302,4.502899759076255,MOCADB,,
training_stars,4041056594768899200,Gaia eDR3 4041056594768899200,266.64069178358295,-35.57173082403268,3.3127062746671587,MOCADB,,
training_stars,604891069277322624,Gaia DR3 604891069277322624,132.8694119,11.4964896,0.6783983603984042,MOCADB,,
training_stars,4041544537427681536,Gaia eDR3 4041544537427681536,267.03163030574086,-34.58244027820665,3.891240744466979,MOCADB,,
training_stars,604968206888780032,Gaia DR3 604968206888780032,132.492224,11.9614029,0.728801759581058,MOCADB,,
training_stars,598887770148211584,Gaia DR3 598887770148211584,132.56912501420234,11.403457857265709,0.5975160133860037,MOCADB,,
training_stars,604910723047665024,Gaia DR3 604910723047665024,132.7602977,11.7122509,1.993139729326084,MOCADB,,
training_stars,604911680824696064,Gaia DR3 604911680824696064,132.80284614752156,11.791561048959148,1.515234141353159,MOCADB,,
training_stars,3051561104034700672,Gaia DR3 3051561104034700672,105.80900337485431,-8.380036311433765,0.9881384122096052,MOCADB,,
training_stars,3050044435120269056,Gaia DR3 3050044435120269056,105.58257261886564,-8.623388280975718,1.0018717498182832,MOCADB,,
training_stars,598885502406044544,Gaia DR3 598885502406044544,132.7657597,11.4123014,0.8092833853947229,MOCADB,,
training_stars,604945288944333440,Gaia DR3 604945288944333440,133.20798,12.0086407,1.1061980228986268,MOCADB,,
training_stars,2925821061658327424,Gaia DR3 2925821061658327424,103.47709253361278,-22.197424036805092,0.7130783588450056,MOCADB,,
training_stars,5290767699941318144,Gaia DR2 5290767699941318144,119.71197087147428,-60.809986885578574,2.0949612036376157,MOCADB,,
training_stars,5290642871012690432,Gaia eDR3 5290642871012690432,119.56002089530648,-61.32897072606356,2.307835265570903,MOCADB,,
