moca_oid,GaiaDR3_ID,twomass_id,moca_aid,moca_mtid,designation,ra,dec,spectral_type,banyan_prob,gmag,rmag,bmag,parallax_mas,prot_days,age_string_myr,age_myr,age_myr_unc,age_myr_unc_pos,age_myr_unc_neg,phot_g_mean_mag,bp_rp,ruwe,parallax,ebpminrp_gspphot,bprp0,flag_high_ruwe
375783,189352433633237504,,STOC10,CM,Gaia eDR3 189352433633237504,85.2118060901798,37.2395467935141,(M3.3),99.6539,18.006,16.809,19.345,3.026240110397339,0.8883370161056519,83.2,83.2,16.6,16.6,16.6,18.303467,2.723402,0.9974607,3.02623961445056,0.4776,2.245802,False
2716876,3051559592199912192,07022223-0828031,NGC2323,CM,Gaia DR3 3051559592199912192,105.5926625,-8.4675769,(M0.1),99.6539,17.65173,16.65717,18.70753,1.0344560448468223,4.365,144.5,144.5,,,,17.651747,2.0504112,1.0310701,1.0344560448468225,0.2612,1.7892113,False
2881040,4065974899811941888,,NGC6530,CM,Gaia DR3 4065974899811941888,271.11983501277535,-24.383197213708577,(M4.6),99.6535,18.05726,16.76155,19.25835,0.8669351806793875,8.35771,5.5 ± 0.6,5.5,0.6,0.6,0.6,18.05724,2.497013,1.0341777,0.8669351806793875,,,False
2881683,4066070278134968960,18042403-2416536,NGC6530,CM,Gaia DR3 4066070278134968960,271.100163,-24.281574,(M3.1),99.6524,17.32018,16.13501,18.43514,0.7461683393280343,6.18852,5.5 ± 0.6,5.5,0.6,0.6,0.6,17.320103,2.3000927,1.0473571,0.7461683393280343,,,False
16781,1013753435957830912,,HSC1224,CM,Gaia DR2 1013753435957830912,131.719341928455,46.9724151631526,(M2.6),99.6508,15.675,14.524,17.032,6.676469802856445,5.561950206756592,"116 (-61,+130)",116.0,94.0,130.0,61.0,15.687652,2.5152617,0.94594914,6.676465758543254,0.2943,2.2209616,False
4077495,6910331384007886336,21001754-0614118,UPK51,CM,Gaia DR3 6910331384007886336,315.0731306,-6.2366064,(M0.5),99.6499,16.53383,15.5179,17.55479,1.7886478260888263,0.7726391225649459,109.6,109.6,,,,16.53381,2.0369453,1.0535438,1.7886478260888263,,,False
2881031,4065974831109068672,18042035-2424069,NGC6530,CM,Gaia DR3 4065974831109068672,271.084794,-24.401934,(M1.6),99.6495,16.20269,15.1228,17.29957,0.8781444263321453,1.43969,5.5 ± 0.6,5.5,0.6,0.6,0.6,16.202656,2.1777372,0.9592209,0.8781444263321453,1.5733,0.60443723,False
3945647,604971677223267072,08512501+1200018,NGC2682,CM,Gaia DR3 604971677223267072,132.8542132,12.0005219,(M1.2),99.6493,18.702,17.64971,19.94859,1.0023875329369196,35.4,~4000,4168.7,,,,18.702,2.2982922,0.96940607,1.0023875329369196,0.0836,2.214692,False
1848,64982344089813248,03455274+2327543,PLE,HM,V747 Tau,56.4698695,23.4648907,(M5.9),99.649,16.179,14.95,17.826,7.216790199279785,0.6841,127.4 +6.3/-10,127.4,8.15,6.3,10.0,16.27454,2.936716,1.0719284,7.216786495064386,,,False
2865115,4055110144367140480,,NGC6405,CM,Gaia DR3 4055110144367140480,265.31206030627493,-31.56525806613974,(M5.6),99.6488,18.82149,17.4469,20.30148,2.259478514874398,1.1954955929642643,105 ± 20,105.0,20.0,20.0,20.0,18.821407,2.8550644,1.1041987,2.259478514874398,,,False
246744,4112667791423599872,17075432-2450598,OCSN99,CM,Gaia eDR3 4112667791423599872,256.976298229086,-24.8501485034623,(M4.4),99.6486,16.873,15.589,18.553,7.635059833526611,0.8571619987487793,"93 (-40,+110)",93.0,76.0,110.0,40.0,16.889017,2.975213,1.0873237,7.635061942349624,,,False
155723,5870249497955639680,13263519-5900258,PL10,CM,Gaia DR2 5870249497955639680,201.646646,-59.007168,(M2.5),99.6444,16.904,15.765,18.268,4.069950103759766,1.0271300077438354,110 ± 20,112.2,22.4,22.4,22.4,17.145489,2.6485538,1.021641,4.069948741735511,0.3948,2.253754,False
3117850,4512908440753301376,19041060+1522035,UPK54,CM,Gaia DR3 4512908440753301376,286.044192,15.367659,(M0.9),99.6432,16.62815,15.5938,17.21663,1.235189118847133,7.022197544939322,"77 (-31,+40)",77.0,35.0,40.0,31.0,16.628155,1.6228008,1.194913,1.235189118847133,0.4737,1.1491008,False
97026,416580491631673984,00295967+5411197,THEIA1605,CM,Gaia DR2 416580491631673984,7.4985291,54.1888058,(M2.8),99.6429,17.332,16.166,18.801,4.1905198097229,0.4565820097923279,3467.4,3467.4,558.9,558.9,558.9,17.427385,2.6929302,1.0714922,4.190519776436267,,,False
282425,5290769894668323584,07593903-6043067,NGC2516,HM,Cl* NGC 2516 JTH 11451,119.9126397,-60.7185133,(M5.9),99.6417,17.959,16.81,19.337,2.4326400756835938,2.486,195 ± 25,195.0,25.0,25.0,25.0,18.1655,2.6539764,0.9794727,2.432636839971603,0.3847,2.2692764,False
3945600,604968958508607360,08504695+1153329,NGC2682,CM,Gaia DR3 604968958508607360,132.6956621,11.8925705,(M2.2),99.6416,19.56545,18.44497,20.54965,1.4726929431428155,44.6,~4000,4168.7,,,,19.565472,2.1033764,1.0306882,1.4726929431428155,,,False
3915866,6017162668187335680,16254346-4029432,NGC6124,CM,Gaia DR3 6017162668187335680,246.431122,-40.495358,(M0.5),99.6409,16.67424,15.65841,17.74223,1.5647235712456649,1.2438547183649735,199.5,199.5,,,,16.674273,2.0838585,1.0465564,1.5647235712456649,0.8957,1.1881585,False
63536,2937743822149641856,06185538-2138542,PL5,CM,Gaia DR2 2937743822149641856,94.7307212,-21.6483832,(M3.4),99.6402,16.762,15.554,18.301,3.963759899139404,1.7317099571228027,~ 60,60.0,20.0,20.0,20.0,16.787167,2.7624846,1.0769401,3.9637608731583445,0.3887,2.3737845,False
1792983,6619459229307340416,21595659-2737211,CWNU1012,CM,Gaia DR3 6619459229307340416,329.9858707,-27.6225397,(M5.6),99.6395,17.5147,16.25819,19.23687,3.8961372743997305,0.8105354474426106,"135 (-65,+100)",135.0,83.0,100.0,65.0,17.514702,2.978981,1.0130148,3.8961372743997305,,,False
2562192,2927010969457684736,06453325-2042346,NGC2287,CM,Gaia DR3 2927010969457684736,101.3885306,-20.7097175,(M2.7),99.6386,19.08417,17.92853,20.43212,1.477323745074186,0.8576966184218264,177.8,177.8,,,,19.084198,2.503687,1.015184,1.477323745074186,,,False
3915768,6017122948327921664,16263846-4024043,NGC6124,CM,Gaia DR3 6017122948327921664,246.6603086,-40.4012015,(M0.8),99.6365,16.6439,15.61404,17.66819,1.540823501973547,2.9272954071267874,199.5,199.5,,,,16.64387,2.0539675,1.0844214,1.540823501973547,1.0884,0.96556747,False
1746,65163110673516928,03445801+2324312,PLE,HM,Cl* Melotte 22 DH 362,56.2418091,23.4084782,(M6.0),99.6354,16.234,14.992,17.886,7.425570011138916,0.7571,127.4 +6.3/-10,127.4,8.15,6.3,10.0,16.323061,2.951087,1.0671307,7.4255680209980675,0.4903,2.460787,False
