source_paper,star_name,source_id,ra,dec,pmra,pmdec,prot_days,age_gyr,age_err_lo_gyr,age_err_hi_gyr,age_method,parallax,parallax_error,bp_rp,bp_rp_0,ebpminrp_gspphot,ruwe,high_ruwe,phot_g_mean_mag,binary_type,twomass_id,k_m,k_cmsig,A_Ks,A_Ks_err,k_m_0,M_Ks,flag_outside_mann_range,mass_msun,mass_msun_err_lo,mass_msun_err_hi,tau_ce_days,rossby_number,tau_ce_err_days,log_prot,log_age_myr,log_mass_msun,log_tau_ce,log_tau_ce_err,log_mass_err_lo,log_mass_err_hi,log_rossby,log_age_err_lo,log_age_err_hi,cluster_name,p16,p50,p84,inferred_age_gyr,residual_dex,fold
MOCADB,2MASS J08085529-4939292,5514320880843244416,122.2303781,-49.6581165,,,0.624,0.0349,0.0012,0.0012,association,2.8059285991487113,0.1175,3.4499035,,,1.0056387,False,18.49648,,08085529-4939292,13.943,0.044,0.0084172182226955,0.0007775924613113,13.934582781777303,6.174965859732509,False,0.4150141213567303,0.0188158804526817,0.0188516971337683,97.67079977161548,0.0063888081336397,7.182847697290805,-0.20481541031757602,1.54282542695918,-0.38193712564220766,1.9897647439282315,0.8562966578954418,-1.7254754548995337,-1.7246495461132167,-2.1945801542458074,0.07918124604762482,0.07918124604762482,,0.5476142160296867,1.1060567080983876,2.003642745817181,0.012766054909742164,-0.43676871886079227,1
MOCADB,GES J08104618-4855013,5514563941634975232,122.6923916,-48.9170407,,,1.389,0.0349,0.0012,0.0012,association,3.2969187615563538,0.1529,3.025854,2.3657541,0.6601,2.066041,True,17.592043,,08104618-4855013,13.557,0.039,0.0060526470143587,0.000496848766703,13.55094735298564,6.141488582722532,False,0.420499811594291,0.0200172113844085,0.019861893260398,91.76600279990517,0.015136324538715,6.735215373905853,0.14270224573761559,1.54282542695918,-0.37623419445246165,1.9626818148496854,0.8283514878397518,-1.6985964245948602,-1.701979356376675,-1.81997956911207,0.07918124604762482,0.07918124604762482,,0.45122851223239546,0.9015804482133754,2.0914248518546374,0.007972241538043169,-0.6412449787458046,1
MOCADB,Gaia DR2 3340262900088330240,3340262900088330240,86.4518874,12.5848158,,,6.283030033111572,0.009,0.002,0.002,association,3.2131698626783867,0.045,2.3198843,2.0420842,0.2778,0.9335471,False,15.8063545,,05454845+1235055,12.35,0.021,0.0062729690809795,0.0003754384289205,12.34372703091902,4.878395455554841,False,0.6195452548999942,0.0157419107499318,0.0158824312394525,41.70014937834342,0.1506716433100982,2.30175527172863,0.798169135664285,0.9542425094393249,-0.20792696493680532,1.6201376107069485,0.36205914649281,-1.8029425542013855,-1.7990830161999094,-0.8219684750426635,0.3010299956639812,0.3010299956639812,,1.348211929182214,1.763221656100664,2.3229374296095684,0.057972450190351375,0.8089791466613391,1
MOCADB,Gaia DR2 65419434321982464,65419434321982464,59.3969956,22.9854623,,,0.9152489900588988,0.1274,0.01,0.0063,association,7.430986194789563,0.0429,2.6708174,2.2412174,0.4296,1.0802506,False,15.45358,,03573525+2259084,11.653,0.022,0.0160565757837407,0.0013791779530542,11.63694342421626,5.992175696608186,False,0.4452324174673799,0.0106985598134938,0.0108558617029055,78.91240798687697,0.0115982899699512,5.7695947816577515,-0.03846074167296974,2.1051694279993316,-0.35141322211214876,1.897145295941431,0.761145312242414,-1.9706746809268605,-1.9643356979613975,-1.9356060376144006,1.0,0.7993405494535817,,1.077504546614029,1.5429747980604531,2.2355682430508974,0.0349120055589976,-0.5621946299388785,1
MOCADB,Gaia DR2 63959351598814336,63959351598814336,57.4518888,22.1800064,,,1.5956900119781494,0.1274,0.01,0.0063,association,6.972454206976809,0.0563,2.692378,2.2840781,0.4083,1.0422074,False,15.772934,,03494843+2210485,11.994,0.023,0.0169458618512335,0.0008921581069385,11.977054138148766,6.193982491295575,False,0.4120737762004554,0.0102058986249053,0.0103620233015438,100.83578729782984,0.0158246397904852,7.422779862042841,0.20294852663681434,2.1051694279993316,-0.38502502249024884,2.0036146934946575,0.8705665808385914,-1.991148749825352,-1.9845554354304347,-1.8006661668578432,1.0,0.7993405494535817,,0.13656192135188214,0.8402355958714549,2.111209340771042,0.006922063768827148,-1.2649338321278767,1
MOCADB,Cl* Melotte 22 DH 393,64768763955442944,56.3607062,22.5254315,,,1.2096,0.1274,0.01,0.0063,association,7.33043869209861,0.0532,2.7872744,2.4156744,0.3716,1.0771861,False,16.099396,,03452655+2231322,12.249,0.02,0.0121871525762265,0.001205634481247,12.236812847423774,6.56246267687543,False,0.35316427217984,0.0086794245318136,0.0088134526345169,170.38397927128636,0.0070992590099921,23.330394202934247,0.08264177815713132,2.1051694279993316,-0.4520232382201105,2.2314287568557205,1.3679220769297467,-2.0615090687109436,-2.0548539251433855,-2.148786978698589,1.0,0.7993405494535817,,0.0802754483203962,0.9139195548772607,2.323719390320622,0.008201996032580918,-1.1912498731220709,1
MOCADB,Gaia DR2 65244646332548352,65244646332548352,56.1972991,24.0103556,,,0.75639,0.1274,0.01,0.0063,association,7.65386834667479,0.0603,2.7916002,2.4065003,0.3851,1.1976473,False,16.130625,,03444732+2400379,12.334,0.019,0.0043176405477049,0.0006059756821473,12.329682359452296,6.749087297964204,False,0.3248165597216032,0.008019310208445,0.0081511414232489,207.3812874933426,0.0036473396859602,37.369598797875994,-0.12125422146307309,2.1051694279993316,-0.4883618377671129,2.3167695663971863,1.5725184352645718,-2.095862986522532,-2.088781571737457,-2.4380237878602595,1.0,0.7993405494535817,,0.5721318450072148,1.309802870123196,2.1927747387351944,0.02040811393138569,-0.7953665578761355,1
MOCADB,V878 Tau,64064011363520512,57.6559422,22.4687826,,,1.6324000358581543,0.1274,0.01,0.0063,association,7.127754129770755,0.0608,2.9244423,2.4717424,0.4527,1.0237665,False,16.323393,,03503740+2228083,12.372,0.021,0.016592116624388,0.0009193009669849,12.355407883375612,6.620171435373322,False,0.3442516093527548,0.0086620984079744,0.0088324291044087,182.0161183434859,0.0089684367006312,27.744390468048188,0.2128265956411735,2.1051694279993316,-0.4631240207692606,2.260109848411881,1.4431751879978674,-2.0623768866651133,-2.0539198398469987,-2.0472832527707077,1.0,0.7993405494535817,,0.2492280589738747,0.3589835894384626,2.854157590351494,0.0022855124397380064,-1.746185838560869,1
MOCADB,Cl* Melotte 22 DH 361,65170016980919808,56.2362819,23.6063925,,,0.8002,0.1274,0.01,0.0063,association,7.500034623921711,0.0643,2.8697624,2.4566624,0.4131,1.154042,False,16.171886,,03445667+2336237,12.279,0.023,0.0066317373672087,0.001439393155522,12.27236826263279,6.647684604220242,False,0.3400970221760303,0.0087094018267636,0.0087802414788675,187.4383739325085,0.0042691364804953,29.801949767321,-0.09680145295702162,2.1051694279993316,-0.46839717064940034,2.2728585080088703,1.4742446783543826,-2.0600116718874824,-2.0564935397319952,-2.369659960965892,1.0,0.7993405494535817,,0.5141051777133896,1.2930640025683486,2.1406540648699277,0.019636496412312958,-0.812105425430983,1
MOCADB,Gaia DR2 52097609703557248,52097609703557248,61.0352348,20.4691721,,,4.481770038604736,0.1274,0.01,0.0063,association,7.898636298743328,0.0585,2.237362,1.888562,0.3488,2.464495,True,14.349607,,04040843+2028098,10.862,0.02,0.0048566907074471,0.000503870490021,10.857143309292551,5.344903892925986,False,0.5497889680565619,0.0133777488228482,0.0135565144469739,58.4437734370043,0.0766851586582712,4.085234008499976,0.6514495689488908,2.1051694279993316,-0.2598039788618269,1.7667382485005108,0.611216938638197,-1.8736169625076997,-1.86785195877515,-1.11528867955162,1.0,0.7993405494535817,,0.46111143229968377,1.5894764696641184,2.080270791730285,0.03885764440789103,-0.5156929583352132,1
